round,comm_costs
1,3562200
2,3562200
3,3562200
4,3562200
5,3562200
6,3562200
7,3562200
8,3562200
9,3562200
10,3562200
11,3562200
12,3562200
13,3562200
14,3562200
15,3562200
16,3562200
17,3562200
18,3562200
19,3562200
20,3562200
21,3562200
22,3562200
23,3562200
24,3562200
25,3562200
26,3562200
27,3562200
28,3562200
29,3562200
30,3562200
31,3562200
32,3562200
33,3562200
34,3562200
35,3562200
36,3562200
37,3562200
38,3562200
39,3562200
40,3562200
41,3562200
42,3562200
43,3562200
44,3562200
45,3562200
46,3562200
47,3562200
48,3562200
49,3562200
50,3562200
