round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.9277,0.92712,0.92661,0.92653,0.9277,0.9277,0.9277
2,0.9476,0.94721,0.94694,0.94699,0.9476,0.9476,0.9476
3,0.9581,0.9577,0.95763,0.95763,0.9581,0.9581,0.9581
4,0.9632,0.96311,0.96268,0.96282,0.9632,0.9632,0.9632
5,0.9663,0.96609,0.96588,0.96596,0.9663,0.9663,0.9663
6,0.9683,0.96815,0.96791,0.968,0.9683,0.9683,0.9683
7,0.9707,0.97055,0.97037,0.97044,0.9707,0.9707,0.9707
8,0.9713,0.97113,0.97099,0.97105,0.9713,0.9713,0.9713
9,0.9729,0.97279,0.97258,0.97267,0.9729,0.9729,0.9729
10,0.974,0.9739,0.97372,0.9738,0.974,0.974,0.974
11,0.9749,0.97481,0.9746,0.97469,0.9749,0.9749,0.9749
12,0.9755,0.9754,0.9752,0.97529,0.9755,0.9755,0.9755
13,0.9756,0.9755,0.97533,0.9754,0.9756,0.9756,0.9756
14,0.976,0.97595,0.97576,0.97584,0.976,0.976,0.976
15,0.9767,0.97665,0.97647,0.97655,0.9767,0.9767,0.9767
16,0.9766,0.97655,0.97638,0.97646,0.9766,0.9766,0.9766
17,0.9768,0.97677,0.97657,0.97666,0.9768,0.9768,0.9768
18,0.977,0.97695,0.97678,0.97685,0.977,0.977,0.977
19,0.9772,0.97716,0.977,0.97707,0.9772,0.9772,0.9772
20,0.9773,0.97726,0.97709,0.97717,0.9773,0.9773,0.9773
21,0.9778,0.97776,0.97762,0.97768,0.9778,0.9778,0.9778
22,0.9782,0.97814,0.97802,0.97807,0.9782,0.9782,0.9782
23,0.9782,0.97818,0.97802,0.97809,0.9782,0.9782,0.9782
24,0.978,0.97799,0.97781,0.97789,0.978,0.978,0.978
25,0.9781,0.97808,0.9779,0.97798,0.9781,0.9781,0.9781
26,0.9783,0.97828,0.9781,0.97818,0.9783,0.9783,0.9783
27,0.9778,0.97779,0.97761,0.97769,0.9778,0.9778,0.9778
28,0.9781,0.97809,0.97791,0.97799,0.9781,0.9781,0.9781
29,0.9784,0.97838,0.97819,0.97828,0.9784,0.9784,0.9784
30,0.9781,0.9781,0.9779,0.97799,0.9781,0.9781,0.9781
31,0.9784,0.9784,0.9782,0.97829,0.9784,0.9784,0.9784
32,0.9785,0.97849,0.9783,0.97838,0.9785,0.9785,0.9785
33,0.9788,0.97879,0.97861,0.97869,0.9788,0.9788,0.9788
34,0.9787,0.97869,0.97849,0.97858,0.9787,0.9787,0.9787
35,0.9788,0.97878,0.97859,0.97868,0.9788,0.9788,0.9788
36,0.9786,0.97858,0.97838,0.97847,0.9786,0.9786,0.9786
37,0.9788,0.97877,0.97857,0.97866,0.9788,0.9788,0.9788
38,0.9789,0.97887,0.9787,0.97877,0.9789,0.9789,0.9789
39,0.979,0.97894,0.97878,0.97886,0.979,0.979,0.979
40,0.979,0.97897,0.97878,0.97886,0.979,0.979,0.979
41,0.9788,0.97877,0.97859,0.97867,0.9788,0.9788,0.9788
42,0.9788,0.97876,0.97858,0.97866,0.9788,0.9788,0.9788
43,0.9787,0.97868,0.97848,0.97857,0.9787,0.9787,0.9787
44,0.979,0.97897,0.97878,0.97887,0.979,0.979,0.979
45,0.9789,0.97885,0.97869,0.97876,0.9789,0.9789,0.9789
46,0.979,0.97893,0.97877,0.97884,0.979,0.979,0.979
47,0.9789,0.97883,0.97868,0.97875,0.9789,0.9789,0.9789
48,0.9791,0.97903,0.97889,0.97895,0.9791,0.9791,0.9791
49,0.9791,0.97903,0.97889,0.97895,0.9791,0.9791,0.9791
50,0.9792,0.97913,0.97899,0.97905,0.9792,0.9792,0.9792
