round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9171,0.91694,0.9161,0.91606,0.9171,0.9171,0.9171
2,0,0.9357,0.93579,0.93497,0.93495,0.9357,0.9357,0.9357
3,0,0.9509,0.95071,0.95018,0.95034,0.9509,0.9509,0.9509
4,0,0.956,0.9556,0.95559,0.95548,0.956,0.956,0.956
5,0,0.9607,0.96059,0.96029,0.96034,0.9607,0.9607,0.9607
6,0,0.9659,0.96571,0.96552,0.96559,0.9659,0.9659,0.9659
7,0,0.9668,0.96665,0.96649,0.96653,0.9668,0.9668,0.9668
8,0,0.9685,0.96827,0.96825,0.96822,0.9685,0.9685,0.9685
9,0,0.969,0.96885,0.96867,0.96872,0.969,0.969,0.969
10,0,0.9706,0.97044,0.97029,0.97034,0.9706,0.9706,0.9706
11,0,0.9718,0.97169,0.97154,0.97158,0.9718,0.9718,0.9718
12,0,0.9715,0.97134,0.97126,0.97126,0.9715,0.9715,0.9715
13,0,0.9716,0.97154,0.97129,0.97136,0.9716,0.9716,0.9716
14,0,0.9723,0.97209,0.9721,0.97206,0.9723,0.9723,0.9723
15,0,0.9724,0.97226,0.97216,0.97217,0.9724,0.9724,0.9724
16,0,0.9741,0.97397,0.97389,0.9739,0.9741,0.9741,0.9741
17,0,0.974,0.97387,0.97376,0.97378,0.974,0.974,0.974
18,0,0.9736,0.97341,0.97335,0.97335,0.9736,0.9736,0.9736
19,0,0.9748,0.97471,0.97457,0.97462,0.9748,0.9748,0.9748
20,0,0.9752,0.97512,0.975,0.97504,0.9752,0.9752,0.9752
21,0,0.9756,0.97551,0.97541,0.97544,0.9756,0.9756,0.9756
22,0,0.9751,0.97501,0.9749,0.97493,0.9751,0.9751,0.9751
23,0,0.9751,0.97499,0.9749,0.97492,0.9751,0.9751,0.9751
24,0,0.9753,0.97519,0.97512,0.97514,0.9753,0.9753,0.9753
25,0,0.9759,0.97578,0.97571,0.97573,0.9759,0.9759,0.9759
26,0,0.9763,0.9762,0.97615,0.97616,0.9763,0.9763,0.9763
27,0,0.976,0.97588,0.97582,0.97583,0.976,0.976,0.976
28,0,0.9761,0.97601,0.97593,0.97595,0.9761,0.9761,0.9761
29,0,0.9755,0.9754,0.97535,0.97535,0.9755,0.9755,0.9755
30,0,0.976,0.97593,0.97581,0.97585,0.976,0.976,0.976
31,0,0.9757,0.97561,0.97554,0.97556,0.9757,0.9757,0.9757
32,0,0.976,0.97594,0.97582,0.97586,0.976,0.976,0.976
33,0,0.9756,0.9755,0.97541,0.97544,0.9756,0.9756,0.9756
34,0,0.9761,0.976,0.97592,0.97594,0.9761,0.9761,0.9761
35,0,0.9763,0.97622,0.97612,0.97615,0.9763,0.9763,0.9763
36,0,0.9765,0.97644,0.97632,0.97636,0.9765,0.9765,0.9765
37,0,0.9765,0.97642,0.97634,0.97636,0.9765,0.9765,0.9765
38,0,0.9759,0.97579,0.97571,0.97573,0.9759,0.9759,0.9759
39,0,0.9765,0.97642,0.97637,0.97638,0.9765,0.9765,0.9765
40,0,0.9764,0.97633,0.97622,0.97626,0.9764,0.9764,0.9764
41,0,0.9772,0.97713,0.97704,0.97706,0.9772,0.9772,0.9772
42,0,0.9762,0.97618,0.97602,0.97608,0.9762,0.9762,0.9762
43,0,0.9775,0.97744,0.97736,0.97738,0.9775,0.9775,0.9775
44,0,0.9772,0.97715,0.97702,0.97706,0.9772,0.9772,0.9772
45,0,0.977,0.97694,0.97685,0.97688,0.977,0.977,0.977
46,0,0.9776,0.97751,0.97744,0.97746,0.9776,0.9776,0.9776
47,0,0.9771,0.97704,0.97696,0.97698,0.9771,0.9771,0.9771
48,0,0.9773,0.97723,0.97714,0.97716,0.9773,0.9773,0.9773
49,0,0.9774,0.97735,0.97727,0.97729,0.9774,0.9774,0.9774
50,0,0.9782,0.97813,0.97807,0.97809,0.9782,0.9782,0.9782
1,1,0.916,0.91512,0.91558,0.91493,0.916,0.916,0.916
2,1,0.9409,0.94028,0.94034,0.94011,0.9409,0.9409,0.9409
3,1,0.9491,0.94867,0.94885,0.94849,0.9491,0.9491,0.9491
4,1,0.9598,0.95956,0.95939,0.95936,0.9598,0.9598,0.9598
5,1,0.9624,0.9622,0.962,0.96199,0.9624,0.9624,0.9624
6,1,0.9663,0.9659,0.96602,0.96593,0.9663,0.9663,0.9663
7,1,0.9688,0.96855,0.9685,0.9685,0.9688,0.9688,0.9688
8,1,0.9688,0.96859,0.96852,0.96852,0.9688,0.9688,0.9688
9,1,0.9702,0.97003,0.96996,0.96997,0.9702,0.9702,0.9702
10,1,0.9715,0.97123,0.9713,0.97125,0.9715,0.9715,0.9715
11,1,0.9719,0.97171,0.97171,0.97169,0.9719,0.9719,0.9719
12,1,0.9721,0.97188,0.97191,0.97188,0.9721,0.9721,0.9721
13,1,0.9719,0.97172,0.97171,0.9717,0.9719,0.9719,0.9719
14,1,0.973,0.97283,0.97285,0.97282,0.973,0.973,0.973
15,1,0.9734,0.97323,0.97322,0.97321,0.9734,0.9734,0.9734
16,1,0.9737,0.97353,0.97354,0.97352,0.9737,0.9737,0.9737
17,1,0.9741,0.97395,0.97395,0.97394,0.9741,0.9741,0.9741
18,1,0.974,0.97386,0.97384,0.97383,0.974,0.974,0.974
19,1,0.9748,0.97469,0.97465,0.97466,0.9748,0.9748,0.9748
20,1,0.9754,0.97526,0.97525,0.97525,0.9754,0.9754,0.9754
21,1,0.9753,0.97518,0.97516,0.97517,0.9753,0.9753,0.9753
22,1,0.9761,0.97597,0.97598,0.97597,0.9761,0.9761,0.9761
23,1,0.9756,0.97548,0.97543,0.97545,0.9756,0.9756,0.9756
24,1,0.9764,0.97629,0.97624,0.97626,0.9764,0.9764,0.9764
25,1,0.9767,0.97657,0.97655,0.97655,0.9767,0.9767,0.9767
26,1,0.976,0.97589,0.97585,0.97586,0.976,0.976,0.976
27,1,0.9774,0.97728,0.97727,0.97727,0.9774,0.9774,0.9774
28,1,0.9764,0.97627,0.97625,0.97625,0.9764,0.9764,0.9764
29,1,0.9766,0.97646,0.97643,0.97645,0.9766,0.9766,0.9766
30,1,0.9773,0.97719,0.97716,0.97717,0.9773,0.9773,0.9773
31,1,0.9778,0.9777,0.97768,0.97768,0.9778,0.9778,0.9778
32,1,0.9778,0.97771,0.97766,0.97768,0.9778,0.9778,0.9778
33,1,0.9777,0.97759,0.97756,0.97757,0.9777,0.9777,0.9777
34,1,0.9781,0.97796,0.97793,0.97794,0.9781,0.9781,0.9781
35,1,0.9778,0.9777,0.97764,0.97766,0.9778,0.9778,0.9778
36,1,0.9777,0.97757,0.97756,0.97756,0.9777,0.9777,0.9777
37,1,0.9786,0.97853,0.97845,0.97848,0.9786,0.9786,0.9786
38,1,0.9788,0.9787,0.97868,0.97869,0.9788,0.9788,0.9788
39,1,0.9782,0.97807,0.9781,0.97808,0.9782,0.9782,0.9782
