round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.9125,0.9136,0.9129,0.91244,0.9125,0.9125,0.9125
2,0,0.93833,0.93809,0.93867,0.93786,0.93833,0.93833,0.93833
3,0,0.95333,0.95401,0.95307,0.9533,0.95333,0.95333,0.95333
4,0,0.95917,0.95905,0.95961,0.95918,0.95917,0.95917,0.95917
5,0,0.95917,0.95912,0.95924,0.95902,0.95917,0.95917,0.95917
6,0,0.96583,0.96616,0.96579,0.96583,0.96583,0.96583,0.96583
7,0,0.96917,0.96946,0.96942,0.9693,0.96917,0.96917,0.96917
8,0,0.9675,0.96778,0.96763,0.96759,0.9675,0.9675,0.9675
9,0,0.96917,0.96909,0.96939,0.96915,0.96917,0.96917,0.96917
10,0,0.96833,0.96824,0.96832,0.96815,0.96833,0.96833,0.96833
11,0,0.96833,0.96815,0.96831,0.9681,0.96833,0.96833,0.96833
12,0,0.97,0.96947,0.96978,0.96953,0.97,0.97,0.97
13,0,0.97083,0.97117,0.97083,0.97088,0.97083,0.97083,0.97083
14,0,0.97083,0.97068,0.97145,0.9709,0.97083,0.97083,0.97083
15,0,0.97333,0.97325,0.9737,0.97339,0.97333,0.97333,0.97333
16,0,0.9725,0.97249,0.97285,0.97253,0.9725,0.9725,0.9725
17,0,0.9725,0.97212,0.97305,0.97244,0.9725,0.9725,0.9725
18,0,0.97417,0.97403,0.97443,0.97415,0.97417,0.97417,0.97417
19,0,0.9725,0.97263,0.97269,0.97254,0.9725,0.9725,0.9725
20,0,0.97417,0.97403,0.97463,0.97422,0.97417,0.97417,0.97417
21,0,0.97333,0.9736,0.97398,0.97369,0.97333,0.97333,0.97333
22,0,0.97333,0.97344,0.97384,0.97354,0.97333,0.97333,0.97333
23,0,0.97583,0.97601,0.97631,0.97607,0.97583,0.97583,0.97583
24,0,0.97417,0.97424,0.97466,0.97434,0.97417,0.97417,0.97417
25,0,0.97667,0.97689,0.97714,0.97692,0.97667,0.97667,0.97667
26,0,0.975,0.97502,0.97566,0.97521,0.975,0.975,0.975
27,0,0.97333,0.97367,0.97375,0.97362,0.97333,0.97333,0.97333
28,0,0.97833,0.9784,0.97888,0.97855,0.97833,0.97833,0.97833
29,0,0.975,0.97485,0.97581,0.97519,0.975,0.975,0.975
30,0,0.97417,0.97442,0.97471,0.97446,0.97417,0.97417,0.97417
31,0,0.97417,0.97451,0.97472,0.97449,0.97417,0.97417,0.97417
32,0,0.975,0.97486,0.97574,0.97515,0.975,0.975,0.975
33,0,0.975,0.97504,0.97546,0.97515,0.975,0.975,0.975
34,0,0.97667,0.97665,0.97712,0.97677,0.97667,0.97667,0.97667
35,0,0.97667,0.97664,0.97734,0.97689,0.97667,0.97667,0.97667
36,0,0.97583,0.97603,0.9766,0.97617,0.97583,0.97583,0.97583
37,0,0.97667,0.97682,0.97712,0.9769,0.97667,0.97667,0.97667
38,0,0.97583,0.97599,0.97633,0.97605,0.97583,0.97583,0.97583
39,0,0.97667,0.97664,0.97734,0.97689,0.97667,0.97667,0.97667
40,0,0.9775,0.97747,0.97793,0.97759,0.9775,0.9775,0.9775
41,0,0.975,0.97536,0.97532,0.97527,0.975,0.975,0.975
42,0,0.9775,0.97769,0.97765,0.97759,0.9775,0.9775,0.9775
43,0,0.97417,0.97435,0.97478,0.97445,0.97417,0.97417,0.97417
44,0,0.97667,0.97682,0.97712,0.9769,0.97667,0.97667,0.97667
45,0,0.97583,0.97583,0.97639,0.97602,0.97583,0.97583,0.97583
46,0,0.97667,0.9768,0.97728,0.97692,0.97667,0.97667,0.97667
47,0,0.97583,0.97612,0.97633,0.97614,0.97583,0.97583,0.97583
48,0,0.97667,0.97693,0.97728,0.97701,0.97667,0.97667,0.97667
49,0,0.975,0.97536,0.97532,0.97527,0.975,0.975,0.975
50,0,0.97583,0.97593,0.97655,0.97613,0.97583,0.97583,0.97583
1,1,0.91417,0.91404,0.91432,0.91401,0.91417,0.91417,0.91417
2,1,0.93917,0.9401,0.93932,0.93935,0.93917,0.93917,0.93917
3,1,0.94667,0.94665,0.94697,0.94651,0.94667,0.94667,0.94667
4,1,0.95667,0.95661,0.95697,0.95659,0.95667,0.95667,0.95667
5,1,0.96417,0.96487,0.96416,0.96431,0.96417,0.96417,0.96417
6,1,0.9625,0.96282,0.96256,0.96262,0.9625,0.9625,0.9625
7,1,0.9675,0.96816,0.96759,0.96771,0.9675,0.9675,0.9675
8,1,0.965,0.9653,0.96511,0.9651,0.965,0.965,0.965
9,1,0.96583,0.96667,0.96581,0.96604,0.96583,0.96583,0.96583
10,1,0.96917,0.96984,0.96921,0.96937,0.96917,0.96917,0.96917
11,1,0.97083,0.97126,0.9708,0.97092,0.97083,0.97083,0.97083
12,1,0.96917,0.96969,0.96917,0.96931,0.96917,0.96917,0.96917
13,1,0.97,0.97074,0.97006,0.97026,0.97,0.97,0.97
14,1,0.97083,0.97145,0.97071,0.97095,0.97083,0.97083,0.97083
15,1,0.97083,0.9716,0.97075,0.97103,0.97083,0.97083,0.97083
16,1,0.9725,0.9733,0.97248,0.97273,0.9725,0.9725,0.9725
17,1,0.97167,0.9721,0.97164,0.97179,0.97167,0.97167,0.97167
18,1,0.97083,0.97124,0.97082,0.97094,0.97083,0.97083,0.97083
19,1,0.97167,0.97217,0.97183,0.97189,0.97167,0.97167,0.97167
20,1,0.97167,0.97238,0.97167,0.9719,0.97167,0.97167,0.97167
21,1,0.9725,0.973,0.97246,0.97262,0.9725,0.9725,0.9725
22,1,0.9725,0.97306,0.97256,0.97268,0.9725,0.9725,0.9725
23,1,0.97167,0.97215,0.97178,0.97182,0.97167,0.97167,0.97167
24,1,0.97167,0.97207,0.97178,0.9718,0.97167,0.97167,0.97167
25,1,0.97333,0.97387,0.97336,0.9735,0.97333,0.97333,0.97333
26,1,0.97417,0.97474,0.97418,0.97436,0.97417,0.97417,0.97417
27,1,0.9725,0.97319,0.97234,0.97265,0.9725,0.9725,0.9725
28,1,0.97083,0.97141,0.97067,0.97093,0.97083,0.97083,0.97083
29,1,0.97417,0.97472,0.97412,0.97431,0.97417,0.97417,0.97417
30,1,0.97333,0.97388,0.97321,0.97343,0.97333,0.97333,0.97333
31,1,0.97333,0.97395,0.97321,0.97345,0.97333,0.97333,0.97333
32,1,0.9725,0.97326,0.97238,0.97266,0.9725,0.9725,0.9725
33,1,0.975,0.97559,0.97492,0.97516,0.975,0.975,0.975
34,1,0.97333,0.97395,0.97321,0.97345,0.97333,0.97333,0.97333
35,1,0.97333,0.97395,0.97321,0.97345,0.97333,0.97333,0.97333
36,1,0.97333,0.97412,0.97321,0.97352,0.97333,0.97333,0.97333
37,1,0.9725,0.97308,0.97238,0.97259,0.9725,0.9725,0.9725
38,1,0.9725,0.97308,0.97238,0.97259,0.9725,0.9725,0.9725
39,1,0.9725,0.97308,0.97238,0.97259,0.9725,0.9725,0.9725
40,1,0.97417,0.97487,0.97401,0.97432,0.97417,0.97417,0.97417
41,1,0.97417,0.97481,0.97401,0.9743,0.97417,0.97417,0.97417
42,1,0.97333,0.97401,0.97318,0.97346,0.97333,0.97333,0.97333
43,1,0.97333,0.97401,0.97318,0.97346,0.97333,0.97333,0.97333
44,1,0.97333,0.97401,0.97318,0.97346,0.97333,0.97333,0.97333
45,1,0.9725,0.97326,0.97238,0.97266,0.9725,0.9725,0.9725
46,1,0.97333,0.97401,0.97318,0.97346,0.97333,0.97333,0.97333
47,1,0.9725,0.97308,0.97238,0.97259,0.9725,0.9725,0.9725
48,1,0.97333,0.97401,0.97318,0.97346,0.97333,0.97333,0.97333
49,1,0.97333,0.97401,0.97318,0.97346,0.97333,0.97333,0.97333
50,1,0.97417,0.97485,0.974,0.97429,0.97417,0.97417,0.97417
1,2,0.91083,0.91391,0.91316,0.91228,0.91083,0.91083,0.91083
2,2,0.93333,0.93404,0.93486,0.93417,0.93333,0.93333,0.93333
3,2,0.95333,0.95399,0.95394,0.95382,0.95333,0.95333,0.95333
4,2,0.95833,0.95895,0.95879,0.95878,0.95833,0.95833,0.95833
5,2,0.96167,0.96218,0.96221,0.96204,0.96167,0.96167,0.96167
6,2,0.96417,0.96483,0.96482,0.96467,0.96417,0.96417,0.96417
7,2,0.965,0.96561,0.96567,0.96548,0.965,0.965,0.965
8,2,0.96583,0.96605,0.96609,0.96595,0.96583,0.96583,0.96583
9,2,0.965,0.96537,0.96537,0.96526,0.965,0.965,0.965
10,2,0.96917,0.96942,0.96935,0.96925,0.96917,0.96917,0.96917
11,2,0.97167,0.97191,0.97192,0.97183,0.97167,0.97167,0.97167
12,2,0.97,0.9703,0.9703,0.97016,0.97,0.97,0.97
13,2,0.97083,0.97125,0.97112,0.97107,0.97083,0.97083,0.97083
14,2,0.97083,0.97134,0.9711,0.9711,0.97083,0.97083,0.97083
15,2,0.9725,0.97296,0.97264,0.97269,0.9725,0.9725,0.9725
16,2,0.97167,0.97205,0.97189,0.97187,0.97167,0.97167,0.97167
17,2,0.9725,0.97296,0.97269,0.97269,0.9725,0.9725,0.9725
18,2,0.97167,0.9721,0.97189,0.9719,0.97167,0.97167,0.97167
19,2,0.97167,0.9721,0.97201,0.97191,0.97167,0.97167,0.97167
20,2,0.97333,0.97379,0.97374,0.97367,0.97333,0.97333,0.97333
21,2,0.97333,0.97369,0.97364,0.97356,0.97333,0.97333,0.97333
22,2,0.97417,0.97467,0.97435,0.97438,0.97417,0.97417,0.97417
23,2,0.975,0.97561,0.97523,0.97528,0.975,0.975,0.975
24,2,0.97417,0.9745,0.97439,0.97433,0.97417,0.97417,0.97417
25,2,0.97583,0.97631,0.97603,0.97606,0.97583,0.97583,0.97583
26,2,0.97667,0.97723,0.97695,0.97697,0.97667,0.97667,0.97667
27,2,0.9775,0.97806,0.9778,0.9778,0.9775,0.9775,0.9775
28,2,0.975,0.97552,0.97523,0.97523,0.975,0.975,0.975
29,2,0.975,0.97531,0.97511,0.97509,0.975,0.975,0.975
30,2,0.975,0.97546,0.97523,0.97523,0.975,0.975,0.975
31,2,0.97583,0.97629,0.97623,0.97613,0.97583,0.97583,0.97583
32,2,0.97583,0.97624,0.97625,0.97612,0.97583,0.97583,0.97583
33,2,0.97417,0.97468,0.97444,0.97443,0.97417,0.97417,0.97417
34,2,0.97667,0.97751,0.97707,0.97711,0.97667,0.97667,0.97667
35,2,0.9775,0.9779,0.97774,0.9777,0.9775,0.9775,0.9775
36,2,0.9775,0.97823,0.9777,0.9778,0.9775,0.9775,0.9775
37,2,0.97667,0.97719,0.97703,0.97694,0.97667,0.97667,0.97667
38,2,0.97833,0.97905,0.97856,0.97864,0.97833,0.97833,0.97833
39,2,0.9775,0.97825,0.97774,0.97784,0.9775,0.9775,0.9775
40,2,0.9775,0.97823,0.9777,0.9778,0.9775,0.9775,0.9775
41,2,0.97833,0.97876,0.97849,0.97849,0.97833,0.97833,0.97833
42,2,0.9775,0.97808,0.9777,0.97774,0.9775,0.9775,0.9775
43,2,0.9775,0.9782,0.9777,0.97777,0.9775,0.9775,0.9775
44,2,0.97833,0.97915,0.97854,0.97867,0.97833,0.97833,0.97833
45,2,0.9775,0.9782,0.9777,0.97777,0.9775,0.9775,0.9775
46,2,0.9775,0.97804,0.97779,0.97777,0.9775,0.9775,0.9775
47,2,0.97667,0.9771,0.97695,0.97686,0.97667,0.97667,0.97667
48,2,0.97667,0.97725,0.97695,0.97692,0.97667,0.97667,0.97667
49,2,0.97833,0.97869,0.97849,0.97844,0.97833,0.97833,0.97833
50,2,0.97833,0.97919,0.97869,0.97878,0.97833,0.97833,0.97833
1,3,0.915,0.91354,0.91534,0.91403,0.915,0.915,0.915
2,3,0.93667,0.93614,0.93509,0.93543,0.93667,0.93667,0.93667
3,3,0.94667,0.94678,0.94482,0.94542,0.94667,0.94667,0.94667
4,3,0.95333,0.95303,0.95233,0.95256,0.95333,0.95333,0.95333
5,3,0.96167,0.96088,0.96139,0.961,0.96167,0.96167,0.96167
6,3,0.96333,0.96288,0.96274,0.96271,0.96333,0.96333,0.96333
7,3,0.96583,0.9663,0.96469,0.96527,0.96583,0.96583,0.96583
8,3,0.96583,0.96616,0.96499,0.96538,0.96583,0.96583,0.96583
9,3,0.96667,0.96724,0.96572,0.96629,0.96667,0.96667,0.96667
10,3,0.96667,0.9667,0.96596,0.96611,0.96667,0.96667,0.96667
11,3,0.96667,0.96717,0.96562,0.96615,0.96667,0.96667,0.96667
12,3,0.9675,0.9676,0.96651,0.96683,0.9675,0.9675,0.9675
13,3,0.97167,0.97222,0.97097,0.97142,0.97167,0.97167,0.97167
14,3,0.96917,0.96936,0.96831,0.96864,0.96917,0.96917,0.96917
15,3,0.97083,0.97085,0.97025,0.97039,0.97083,0.97083,0.97083
16,3,0.9725,0.97263,0.97208,0.97217,0.9725,0.9725,0.9725
17,3,0.97333,0.97332,0.97286,0.97295,0.97333,0.97333,0.97333
18,3,0.9725,0.97197,0.97208,0.97191,0.9725,0.9725,0.9725
19,3,0.97333,0.973,0.9726,0.97267,0.97333,0.97333,0.97333
20,3,0.9725,0.97267,0.97208,0.97218,0.9725,0.9725,0.9725
21,3,0.9725,0.97231,0.97212,0.97209,0.9725,0.9725,0.9725
22,3,0.97333,0.97308,0.97286,0.97284,0.97333,0.97333,0.97333
23,3,0.97417,0.97378,0.97364,0.97359,0.97417,0.97417,0.97417
24,3,0.97083,0.97049,0.97051,0.97036,0.97083,0.97083,0.97083
25,3,0.97417,0.9738,0.97364,0.97362,0.97417,0.97417,0.97417
26,3,0.975,0.97454,0.97473,0.97453,0.975,0.975,0.975
27,3,0.975,0.97473,0.97448,0.9745,0.975,0.975,0.975
28,3,0.97417,0.9738,0.97364,0.97362,0.97417,0.97417,0.97417
29,3,0.97417,0.9738,0.97364,0.97362,0.97417,0.97417,0.97417
30,3,0.9725,0.972,0.97208,0.97192,0.9725,0.9725,0.9725
31,3,0.97583,0.97544,0.97527,0.97525,0.97583,0.97583,0.97583
32,3,0.97417,0.974,0.9737,0.97372,0.97417,0.97417,0.97417
33,3,0.975,0.97454,0.97473,0.97453,0.975,0.975,0.975
34,3,0.97333,0.97301,0.97261,0.97271,0.97333,0.97333,0.97333
35,3,0.9725,0.97234,0.97178,0.97193,0.9725,0.9725,0.9725
36,3,0.97167,0.97102,0.97133,0.97104,0.97167,0.97167,0.97167
37,3,0.97583,0.97573,0.97527,0.97539,0.97583,0.97583,0.97583
38,3,0.975,0.97451,0.97443,0.97437,0.975,0.975,0.975
39,3,0.975,0.9751,0.97443,0.97462,0.975,0.975,0.975
40,3,0.975,0.97497,0.97449,0.97459,0.975,0.975,0.975
41,3,0.975,0.97473,0.97448,0.9745,0.975,0.975,0.975
42,3,0.975,0.97497,0.97449,0.97459,0.975,0.975,0.975
43,3,0.975,0.97499,0.97449,0.97459,0.975,0.975,0.975
44,3,0.97583,0.97607,0.97522,0.97549,0.97583,0.97583,0.97583
45,3,0.97417,0.97404,0.97365,0.97371,0.97417,0.97417,0.97417
46,3,0.97583,0.97607,0.97522,0.97549,0.97583,0.97583,0.97583
47,3,0.97583,0.97607,0.97522,0.97549,0.97583,0.97583,0.97583
48,3,0.975,0.97475,0.97444,0.97446,0.975,0.975,0.975
49,3,0.97583,0.97607,0.97522,0.97549,0.97583,0.97583,0.97583
50,3,0.97583,0.97607,0.97522,0.97549,0.97583,0.97583,0.97583
1,4,0.90167,0.90131,0.90067,0.90007,0.90167,0.90167,0.90167
