round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.09833,0.05905,0.0955,0.04503,0.09833,0.09833,0.09833
2,0,0.92667,0.92739,0.92702,0.92643,0.92667,0.92667,0.92667
3,0,0.94667,0.94734,0.94754,0.94723,0.94667,0.94667,0.94667
4,0,0.95833,0.95858,0.95908,0.95872,0.95833,0.95833,0.95833
5,0,0.96167,0.96245,0.96204,0.96211,0.96167,0.96167,0.96167
6,0,0.96917,0.9695,0.96962,0.96946,0.96917,0.96917,0.96917
7,0,0.96917,0.96936,0.96956,0.96937,0.96917,0.96917,0.96917
8,0,0.97,0.97012,0.97033,0.97013,0.97,0.97,0.97
9,0,0.97167,0.97171,0.97207,0.97181,0.97167,0.97167,0.97167
10,0,0.97,0.97017,0.97019,0.97005,0.97,0.97,0.97
11,0,0.97167,0.97178,0.97178,0.97166,0.97167,0.97167,0.97167
12,0,0.9725,0.97249,0.9728,0.97254,0.9725,0.9725,0.9725
13,0,0.9725,0.9724,0.97284,0.97248,0.9725,0.9725,0.9725
14,0,0.97333,0.97323,0.97364,0.9733,0.97333,0.97333,0.97333
15,0,0.97167,0.97162,0.97197,0.97167,0.97167,0.97167,0.97167
16,0,0.9725,0.9724,0.97284,0.97248,0.9725,0.9725,0.9725
17,0,0.97167,0.97162,0.97197,0.97167,0.97167,0.97167,0.97167
18,0,0.9725,0.9724,0.97284,0.97248,0.9725,0.9725,0.9725
19,0,0.97333,0.97323,0.97364,0.9733,0.97333,0.97333,0.97333
20,0,0.97333,0.97323,0.97364,0.9733,0.97333,0.97333,0.97333
21,0,0.97333,0.97328,0.97385,0.97345,0.97333,0.97333,0.97333
22,0,0.97417,0.97414,0.97451,0.9742,0.97417,0.97417,0.97417
23,0,0.975,0.97503,0.97552,0.97518,0.975,0.975,0.975
24,0,0.975,0.97503,0.97552,0.97518,0.975,0.975,0.975
25,0,0.975,0.97503,0.97552,0.97518,0.975,0.975,0.975
26,0,0.975,0.97503,0.97552,0.97518,0.975,0.975,0.975
27,0,0.975,0.97516,0.97552,0.97524,0.975,0.975,0.975
28,0,0.97417,0.9744,0.97472,0.97447,0.97417,0.97417,0.97417
29,0,0.97583,0.97596,0.97624,0.97602,0.97583,0.97583,0.97583
30,0,0.975,0.97526,0.97545,0.97526,0.975,0.975,0.975
31,0,0.97417,0.97431,0.97458,0.97435,0.97417,0.97417,0.97417
32,0,0.97417,0.97437,0.97456,0.97439,0.97417,0.97417,0.97417
33,0,0.97417,0.97437,0.97456,0.97439,0.97417,0.97417,0.97417
34,0,0.97417,0.97442,0.97478,0.9745,0.97417,0.97417,0.97417
35,0,0.975,0.97506,0.97559,0.97522,0.975,0.975,0.975
36,0,0.975,0.97506,0.97559,0.97522,0.975,0.975,0.975
37,0,0.97583,0.97595,0.97638,0.97609,0.97583,0.97583,0.97583
38,0,0.97583,0.97595,0.97638,0.97609,0.97583,0.97583,0.97583
39,0,0.975,0.97513,0.97546,0.97523,0.975,0.975,0.975
40,0,0.975,0.97506,0.97559,0.97522,0.975,0.975,0.975
41,0,0.97583,0.97605,0.97625,0.97609,0.97583,0.97583,0.97583
42,0,0.975,0.97514,0.97542,0.97521,0.975,0.975,0.975
43,0,0.97417,0.97424,0.97464,0.97435,0.97417,0.97417,0.97417
44,0,0.97333,0.97341,0.97383,0.97353,0.97333,0.97333,0.97333
45,0,0.97417,0.97424,0.97464,0.97435,0.97417,0.97417,0.97417
46,0,0.97583,0.97582,0.9766,0.97609,0.97583,0.97583,0.97583
47,0,0.97417,0.9743,0.97486,0.97447,0.97417,0.97417,0.97417
48,0,0.97333,0.97354,0.97385,0.9736,0.97333,0.97333,0.97333
49,0,0.97333,0.97354,0.97385,0.9736,0.97333,0.97333,0.97333
50,0,0.97333,0.97354,0.97385,0.9736,0.97333,0.97333,0.97333
1,1,0.1075,0.10745,0.10439,0.04917,0.1075,0.1075,0.1075
2,1,0.9175,0.91797,0.91746,0.91735,0.9175,0.9175,0.9175
3,1,0.94333,0.94412,0.94367,0.9436,0.94333,0.94333,0.94333
4,1,0.95417,0.95476,0.9541,0.95426,0.95417,0.95417,0.95417
5,1,0.96167,0.96207,0.96179,0.96183,0.96167,0.96167,0.96167
6,1,0.96667,0.96729,0.96662,0.9668,0.96667,0.96667,0.96667
7,1,0.96833,0.96899,0.96851,0.96858,0.96833,0.96833,0.96833
