round,comm_costs
1,7126440
2,7126440
3,7126440
4,7126440
5,7126440
6,7126440
7,7126440
8,7126440
9,7126440
10,7126440
11,7126440
12,7126440
13,7126440
14,7126440
15,7126440
16,7126440
17,7126440
18,7126440
19,7126440
20,7126440
21,7126440
22,7126440
23,7126440
24,7126440
25,7126440
26,7126440
27,7126440
28,7126440
29,7126440
30,7126440
31,7126440
32,7126440
33,7126440
34,7126440
35,7126440
36,7126440
37,7126440
38,7126440
39,7126440
40,7126440
41,7126440
42,7126440
43,7126440
44,7126440
45,7126440
46,7126440
47,7126440
48,7126440
49,7126440
50,7126440
