round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.4092,0.3632,0.4242,0.31139,0.4092,0.4092,0.4092
2,0.5467,0.73764,0.55408,0.50303,0.5467,0.5467,0.5467
3,0.4055,0.46898,0.39622,0.35766,0.4055,0.4055,0.4055
4,0.1351,0.16679,0.14132,0.08081,0.1351,0.1351,0.1351
5,0.0998,0.10976,0.10245,0.02257,0.0998,0.0998,0.0998
6,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
8,0.1028,0.01028,0.1,0.01864,0.1028,0.1028,0.1028
9,0.0974,0.00974,0.1,0.01775,0.0974,0.0974,0.0974
10,0.0974,0.00974,0.1,0.01775,0.0974,0.0974,0.0974
11,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
12,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
13,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
14,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
15,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
16,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
17,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
18,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
19,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
20,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
21,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
22,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
23,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
24,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
25,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
26,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
27,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
28,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
29,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
30,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
31,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
32,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
33,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
34,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
35,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
36,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
37,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
38,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
39,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
40,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
41,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
42,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
43,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
44,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
45,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
46,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
47,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
48,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
49,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
50,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
