round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1822,0.0367,0.19537,0.06177,0.1822,0.1822,0.1822
2,0,0.3963,0.52218,0.41078,0.32826,0.3963,0.3963,0.3963
3,0,0.3389,0.66084,0.34291,0.32288,0.3389,0.3389,0.3389
4,0,0.1748,0.03703,0.18721,0.06148,0.1748,0.1748,0.1748
5,0,0.0921,0.09149,0.103,0.02311,0.0921,0.0921,0.0921
6,0,0.0892,0.00892,0.1,0.01639,0.0892,0.0892,0.0892
7,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
8,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
9,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
10,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
11,0,0.0892,0.00892,0.1,0.01638,0.0892,0.0892,0.0892
12,0,0.0891,0.00912,0.09989,0.01671,0.0891,0.0891,0.0891
13,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
14,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
15,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
16,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
17,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
18,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
19,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
20,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
21,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
22,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
23,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
24,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
25,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
26,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
27,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
28,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
29,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
30,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
31,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
32,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
33,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
34,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
35,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
36,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
37,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
38,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
39,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
40,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
41,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
42,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
43,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
44,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
45,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
46,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
47,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
48,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
49,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
50,0,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
1,1,0.2112,0.04218,0.19969,0.06965,0.2112,0.2112,0.2112
2,1,0.4641,0.71191,0.45633,0.4345,0.4641,0.4641,0.4641
3,1,0.4156,0.61033,0.40492,0.3603,0.4156,0.4156,0.4156
4,1,0.2171,0.18545,0.20601,0.08924,0.2171,0.2171,0.2171
5,1,0.2127,0.30914,0.20131,0.11662,0.2127,0.2127,0.2127
6,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
7,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
8,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
9,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
10,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
11,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
12,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
13,1,0.1135,0.01135,0.1,0.02039,0.1135,0.1135,0.1135
14,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
15,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
16,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
17,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
18,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
19,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
20,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
21,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
22,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
23,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
24,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
25,1,0.098,0.0098,0.1,0.01785,0.098,0.098,0.098
