round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98518,0.98092,0.9832,0.98205,0.98518,0.98518,0.98518
2,0,0.98518,0.65434,0.656,0.65516,0.98518,0.98518,0.98518
3,0,0.85101,0.45697,0.37204,0.3906,0.85101,0.85101,0.85101
4,0,0.9181,0.89105,0.92562,0.90506,0.9181,0.9181,0.9181
5,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
6,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
7,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
8,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
9,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
10,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
11,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
12,0,0.70983,0.35491,0.5,0.41515,0.70983,0.70983,0.70983
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
2,1,0.99724,0.65723,0.66568,0.66139,0.99724,0.99724,0.99724
3,1,0.99655,0.39804,0.39567,0.39685,0.99655,0.99655,0.99655
4,1,0.99793,0.98585,0.99889,0.99227,0.99793,0.99793,0.99793
5,1,0.99586,0.49963,0.49216,0.49584,0.99586,0.99586,0.99586
6,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
7,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
8,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
9,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
10,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
11,1,0.92901,0.46451,0.5,0.4816,0.92901,0.92901,0.92901
