round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
2,0,0.82371,0.37634,0.31854,0.34399,0.82371,0.82371,0.82371
3,0,0.72231,0.19138,0.19971,0.18161,0.72231,0.72231,0.72231
4,0,0.26209,0.12281,0.04615,0.06709,0.26209,0.26209,0.26209
5,0,0.5039,0.25141,0.24814,0.20253,0.5039,0.5039,0.5039
6,0,0.29017,0.14509,0.5,0.22491,0.29017,0.29017,0.29017
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.29017,0.14509,0.5,0.22491,0.29017,0.29017,0.29017
11,0,0.29017,0.14509,0.5,0.22491,0.29017,0.29017,0.29017
12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
2,1,0.07099,0.14014,0.14286,0.14148,0.07099,0.07099,0.07099
3,1,0.26465,0.25,0.14882,0.16715,0.26465,0.26465,0.26465
4,1,0.95038,0.28422,0.21532,0.23916,0.95038,0.95038,0.95038
5,1,0.00827,0.27778,0.01344,0.02501,0.00827,0.00827,0.00827
6,1,0.00069,0.33333,0.00324,0.00641,0.00069,0.00069,0.00069
7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
15,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
16,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
17,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
18,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
19,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
20,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
21,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
22,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
23,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
24,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
25,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
26,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
27,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
28,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
29,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
30,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
31,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
32,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
33,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
34,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
35,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
36,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
37,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
38,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
39,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
40,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
41,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
42,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
43,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
44,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
45,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
46,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
47,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
48,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
49,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
50,1,0.07099,0.03549,0.5,0.06628,0.07099,0.07099,0.07099
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.42588,0.38397,0.32907,0.29298,0.42588,0.42588,0.42588
3,2,0.46681,0.29209,0.39546,0.24463,0.46681,0.46681,0.46681
4,2,0.01493,0.1,0.04412,0.06122,0.01493,0.01493,0.01493
5,2,0.27378,0.11513,0.12055,0.072,0.27378,0.27378,0.27378
6,2,0.3042,0.07605,0.25,0.11662,0.3042,0.3042,0.3042
7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,0.3042,0.07605,0.25,0.11662,0.3042,0.3042,0.3042
11,2,0.3042,0.07605,0.25,0.11662,0.3042,0.3042,0.3042
12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
15,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
16,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
17,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
18,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
19,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
20,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
21,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
22,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
23,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
24,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
25,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
26,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
27,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
28,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
29,2,0.03761,0.0094,0.25,0.01812,0.03761,0.03761,0.03761
