round,comm_costs
1,62120
2,62120
3,62120
4,62120
5,62120
6,62120
7,62120
8,62120
9,62120
10,62120
11,62120
12,62120
13,62120
14,62120
15,62120
16,62120
17,62120
18,62120
19,62120
20,62120
21,62120
22,62120
23,62120
24,62120
25,62120
26,62120
27,62120
28,62120
29,62120
30,62120
31,62120
32,62120
33,62120
34,62120
35,62120
36,62120
37,62120
38,62120
39,62120
40,62120
41,62120
42,62120
43,62120
44,62120
45,62120
46,62120
47,62120
48,62120
49,62120
50,93180
