round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
3,0.75778,0.84409,0.51478,0.45985,0.75778,0.75778,0.75778
4,0.78246,0.79107,0.57763,0.57567,0.78246,0.78246,0.78246
5,0.80899,0.77508,0.6627,0.68715,0.80899,0.80899,0.80899
6,0.81838,0.7732,0.70031,0.72307,0.81838,0.81838,0.81838
7,0.82409,0.77717,0.71843,0.73899,0.82409,0.82409,0.82409
8,0.82501,0.77542,0.72645,0.7447,0.82501,0.82501,0.82501
9,0.82796,0.77909,0.73286,0.7505,0.82796,0.82796,0.82796
10,0.83072,0.78279,0.73815,0.75545,0.83072,0.83072,0.83072
11,0.83349,0.78622,0.74394,0.76064,0.83349,0.83349,0.83349
12,0.8357,0.78913,0.74813,0.76451,0.8357,0.8357,0.8357
13,0.83588,0.79003,0.74702,0.76401,0.83588,0.83588,0.83588
14,0.8368,0.79225,0.74664,0.76444,0.8368,0.8368,0.8368
15,0.83846,0.79408,0.75046,0.76772,0.83846,0.83846,0.83846
16,0.8368,0.79286,0.74541,0.76374,0.8368,0.8368,0.8368
17,0.83717,0.79371,0.74541,0.764,0.83717,0.83717,0.83717
18,0.83717,0.79308,0.74664,0.7647,0.83717,0.83717,0.83717
19,0.8368,0.79325,0.74467,0.76332,0.8368,0.8368,0.8368
20,0.83625,0.79242,0.74381,0.76245,0.83625,0.83625,0.83625
21,0.83625,0.79281,0.74307,0.76202,0.83625,0.83625,0.83625
22,0.8368,0.79363,0.74393,0.7629,0.8368,0.8368,0.8368
23,0.83735,0.79472,0.7443,0.76349,0.83735,0.83735,0.83735
24,0.83772,0.79545,0.74454,0.76388,0.83772,0.83772,0.83772
25,0.83791,0.79528,0.74565,0.76464,0.83791,0.83791,0.83791
26,0.83828,0.79587,0.74614,0.76518,0.83828,0.83828,0.83828
27,0.83938,0.79848,0.74614,0.76594,0.83938,0.83938,0.83938
28,0.83938,0.79862,0.74589,0.7658,0.83938,0.83938,0.83938
29,0.83975,0.7981,0.74836,0.76746,0.83975,0.83975,0.83975
30,0.83993,0.79846,0.74848,0.76766,0.83993,0.83993,0.83993
31,0.84012,0.79911,0.74811,0.76758,0.84012,0.84012,0.84012
32,0.84085,0.7996,0.75033,0.76934,0.84085,0.84085,0.84085
33,0.83957,0.79871,0.74651,0.76628,0.83957,0.83957,0.83957
34,0.83957,0.79885,0.74626,0.76614,0.83957,0.83957,0.83957
35,0.83957,0.79856,0.74676,0.76642,0.83957,0.83957,0.83957
36,0.83975,0.79907,0.74663,0.76648,0.83975,0.83975,0.83975
37,0.8403,0.79933,0.74848,0.76791,0.8403,0.8403,0.8403
38,0.84012,0.79982,0.74688,0.76688,0.84012,0.84012,0.84012
39,0.83993,0.79874,0.74799,0.76738,0.83993,0.83993,0.83993
40,0.83993,0.79988,0.74601,0.76626,0.83993,0.83993,0.83993
41,0.84012,0.79911,0.74811,0.76758,0.84012,0.84012,0.84012
42,0.84012,0.79925,0.74786,0.76744,0.84012,0.84012,0.84012
43,0.84012,0.79939,0.74762,0.7673,0.84012,0.84012,0.84012
44,0.8403,0.79976,0.74774,0.7675,0.8403,0.8403,0.8403
45,0.84067,0.79993,0.74897,0.76845,0.84067,0.84067,0.84067
46,0.84104,0.79928,0.75169,0.77022,0.84104,0.84104,0.84104
47,0.84067,0.79965,0.74947,0.76873,0.84067,0.84067,0.84067
48,0.84067,0.79979,0.74922,0.76859,0.84067,0.84067,0.84067
49,0.84085,0.79919,0.75107,0.76975,0.84085,0.84085,0.84085
50,0.8403,0.79838,0.75021,0.76888,0.8403,0.8403,0.8403
