round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.74023,0.37011,0.5,0.42536,0.74023,0.74023,0.74023
1,1,0.78621,0.3931,0.5,0.44015,0.78621,0.78621,0.78621
1,2,0.77011,0.38506,0.5,0.43506,0.77011,0.77011,0.77011
1,3,0.73563,0.36782,0.5,0.42384,0.73563,0.73563,0.73563
1,4,0.73502,0.36751,0.5,0.42364,0.73502,0.73502,0.73502
1,5,0.79032,0.39516,0.5,0.44144,0.79032,0.79032,0.79032
1,6,0.76037,0.38018,0.5,0.43194,0.76037,0.76037,0.76037
1,7,0.72581,0.3629,0.5,0.42056,0.72581,0.72581,0.72581
1,8,0.7235,0.36175,0.5,0.41979,0.7235,0.7235,0.7235
1,9,0.73963,0.36982,0.5,0.42517,0.73963,0.73963,0.73963
2,0,0.74023,0.37011,0.5,0.42536,0.74023,0.74023,0.74023
2,1,0.78851,0.89401,0.50538,0.45136,0.78851,0.78851,0.78851
2,2,0.77011,0.38506,0.5,0.43506,0.77011,0.77011,0.77011
2,3,0.73563,0.36782,0.5,0.42384,0.73563,0.73563,0.73563
2,4,0.73502,0.36751,0.5,0.42364,0.73502,0.73502,0.73502
2,5,0.79263,0.89607,0.50549,0.45288,0.79263,0.79263,0.79263
2,6,0.76037,0.38018,0.5,0.43194,0.76037,0.76037,0.76037
2,7,0.72581,0.3629,0.5,0.42056,0.72581,0.72581,0.72581
2,8,0.7235,0.36175,0.5,0.41979,0.7235,0.7235,0.7235
2,9,0.73963,0.36982,0.5,0.42517,0.73963,0.73963,0.73963
3,0,0.74943,0.79079,0.52057,0.46945,0.74943,0.74943,0.74943
3,1,0.7908,0.89492,0.51075,0.46234,0.7908,0.7908,0.7908
3,2,0.77931,0.76493,0.52701,0.49256,0.77931,0.77931,0.77931
3,3,0.73793,0.86866,0.50435,0.43302,0.73793,0.73793,0.73793
3,4,0.74885,0.87266,0.52609,0.47663,0.74885,0.74885,0.74885
3,5,0.79263,0.68384,0.5176,0.48237,0.79263,0.79263,0.79263
3,6,0.76728,0.88283,0.51442,0.46168,0.76728,0.76728,0.76728
3,7,0.73733,0.79625,0.52362,0.4708,0.73733,0.73733,0.73733
3,8,0.72581,0.86259,0.50417,0.42861,0.72581,0.72581,0.72581
3,9,0.74654,0.87239,0.51327,0.45272,0.74654,0.74654,0.74654
4,0,0.76782,0.79916,0.56171,0.54617,0.76782,0.76782,0.76782
4,1,0.8,0.71356,0.5714,0.57653,0.8,0.8,0.8
4,2,0.82299,0.81031,0.64306,0.67035,0.82299,0.82299,0.82299
4,3,0.75402,0.82529,0.53757,0.50019,0.75402,0.75402,0.75402
4,4,0.79724,0.8279,0.63129,0.64907,0.79724,0.79724,0.79724
4,5,0.80645,0.72391,0.57883,0.58807,0.80645,0.80645,0.80645
4,6,0.79263,0.86229,0.5706,0.56484,0.79263,0.79263,0.79263
4,7,0.76498,0.77803,0.58711,0.58457,0.76498,0.76498,0.76498
4,8,0.75115,0.8369,0.55257,0.52345,0.75115,0.75115,0.75115
4,9,0.7788,0.82164,0.58382,0.58149,0.7788,0.7788,0.7788
5,0,0.78391,0.76052,0.61566,0.62916,0.78391,0.78391,0.78391
5,1,0.81839,0.73898,0.64964,0.6731,0.81839,0.81839,0.81839
5,2,0.83908,0.80504,0.6991,0.72932,0.83908,0.83908,0.83908
5,3,0.76552,0.71197,0.60109,0.60942,0.76552,0.76552,0.76552
5,4,0.82949,0.80228,0.73109,0.75438,0.82949,0.82949,0.82949
5,5,0.81797,0.72726,0.65878,0.67996,0.81797,0.81797,0.81797
5,6,0.79724,0.7689,0.60656,0.62089,0.79724,0.79724,0.79724
5,7,0.80645,0.79455,0.68366,0.70801,0.80645,0.80645,0.80645
5,8,0.76959,0.73621,0.62452,0.63746,0.76959,0.76959,0.76959
5,9,0.81567,0.79335,0.68902,0.71492,0.81567,0.81567,0.81567
6,0,0.7954,0.75076,0.66363,0.68437,0.7954,0.7954,0.7954
6,1,0.82759,0.74716,0.69855,0.7169,0.82759,0.82759,0.82759
6,2,0.83908,0.78322,0.73067,0.7507,0.83908,0.83908,0.83908
6,3,0.77241,0.714,0.63084,0.64592,0.77241,0.77241,0.77241
6,4,0.82719,0.78994,0.74064,0.75888,0.82719,0.82719,0.82719
6,5,0.82488,0.73627,0.69948,0.71432,0.82488,0.82488,0.82488
6,6,0.81336,0.75906,0.67643,0.69971,0.81336,0.81336,0.81336
6,7,0.82719,0.80956,0.72932,0.75376,0.82719,0.82719,0.82719
6,8,0.78571,0.74551,0.67171,0.69018,0.78571,0.78571,0.78571
6,9,0.82949,0.79736,0.72991,0.75256,0.82949,0.82949,0.82949
7,0,0.8023,0.75903,0.67978,0.70124,0.8023,0.8023,0.8023
7,1,0.82529,0.74095,0.70883,0.72218,0.82529,0.82529,0.82529
7,2,0.84368,0.78541,0.75119,0.76565,0.84368,0.84368,0.84368
7,3,0.78161,0.72974,0.64823,0.6659,0.78161,0.78161,0.78161
7,4,0.8318,0.79545,0.74934,0.7669,0.8318,0.8318,0.8318
7,5,0.82258,0.73181,0.70206,0.71454,0.82258,0.82258,0.82258
7,6,0.80645,0.74777,0.662,0.68424,0.80645,0.80645,0.80645
7,7,0.82949,0.80499,0.74136,0.7629,0.82949,0.82949,0.82949
7,8,0.79493,0.75363,0.6961,0.71387,0.79493,0.79493,0.79493
7,9,0.82258,0.77994,0.73097,0.74898,0.82258,0.82258,0.82258
8,0,0.8023,0.75389,0.6884,0.70823,0.8023,0.8023,0.8023
8,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
8,2,0.85057,0.79718,0.75918,0.7751,0.85057,0.85057,0.85057
8,3,0.78621,0.73405,0.6625,0.68077,0.78621,0.78621,0.78621
8,4,0.82488,0.77897,0.75576,0.76579,0.82488,0.82488,0.82488
8,5,0.82488,0.7355,0.71159,0.72203,0.82488,0.82488,0.82488
8,6,0.81797,0.76426,0.68934,0.71233,0.81797,0.81797,0.81797
8,7,0.8318,0.80365,0.75079,0.76997,0.8318,0.8318,0.8318
8,8,0.80415,0.76853,0.70762,0.72673,0.80415,0.80415,0.80415
8,9,0.8341,0.79039,0.7617,0.77386,0.8341,0.8341,0.8341
9,0,0.8069,0.76368,0.6915,0.71279,0.8069,0.8069,0.8069
9,1,0.83448,0.75501,0.73425,0.74358,0.83448,0.83448,0.83448
9,2,0.85517,0.80311,0.76918,0.78374,0.85517,0.85517,0.85517
9,3,0.78851,0.74071,0.66128,0.68039,0.78851,0.78851,0.78851
9,4,0.8318,0.78733,0.7688,0.77709,0.8318,0.8318,0.8318
9,5,0.82028,0.7278,0.70868,0.71722,0.82028,0.82028,0.82028
9,6,0.82258,0.77111,0.69895,0.72206,0.82258,0.82258,0.82258
9,7,0.83641,0.8088,0.7592,0.77772,0.83641,0.83641,0.83641
9,8,0.81797,0.78392,0.73519,0.75267,0.81797,0.81797,0.81797
9,9,0.8318,0.78998,0.75154,0.7669,0.8318,0.8318,0.8318
10,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
10,1,0.82989,0.74731,0.73132,0.73867,0.82989,0.82989,0.82989
10,2,0.85517,0.80311,0.76918,0.78374,0.85517,0.85517,0.85517
10,3,0.78391,0.72916,0.66094,0.6786,0.78391,0.78391,0.78391
10,4,0.84101,0.8047,0.76951,0.78398,0.84101,0.84101,0.84101
10,5,0.82488,0.73538,0.7237,0.72918,0.82488,0.82488,0.82488
10,6,0.82258,0.77111,0.69895,0.72206,0.82258,0.82258,0.82258
10,7,0.82949,0.79476,0.75705,0.77196,0.82949,0.82949,0.82949
10,8,0.81567,0.77975,0.7336,0.75035,0.81567,0.81567,0.81567
10,9,0.8341,0.79277,0.75596,0.77086,0.8341,0.8341,0.8341
11,0,0.8046,0.75715,0.69282,0.71272,0.8046,0.8046,0.8046
11,1,0.82759,0.7435,0.73378,0.73839,0.82759,0.82759,0.82759
11,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
11,3,0.7931,0.74953,0.66719,0.68734,0.7931,0.7931,0.7931
11,4,0.83641,0.79563,0.76916,0.78052,0.83641,0.83641,0.83641
11,5,0.82719,0.73905,0.72516,0.7316,0.82719,0.82719,0.82719
11,6,0.8318,0.7823,0.72147,0.74311,0.8318,0.8318,0.8318
11,7,0.84101,0.80913,0.77544,0.78931,0.84101,0.84101,0.84101
11,8,0.81106,0.77416,0.72527,0.74245,0.81106,0.81106,0.81106
11,9,0.83641,0.79119,0.77186,0.78052,0.83641,0.83641,0.83641
12,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
12,1,0.82759,0.74374,0.72595,0.73402,0.82759,0.82759,0.82759
12,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
12,3,0.7931,0.74306,0.67833,0.69698,0.7931,0.7931,0.7931
12,4,0.83641,0.79365,0.77472,0.7832,0.83641,0.83641,0.83641
12,5,0.82949,0.7428,0.72662,0.73404,0.82949,0.82949,0.82949
12,6,0.8318,0.78414,0.71818,0.74096,0.8318,0.8318,0.8318
12,7,0.83871,0.80398,0.77647,0.78816,0.83871,0.83871,0.83871
12,8,0.81336,0.77566,0.73201,0.74803,0.81336,0.81336,0.81336
12,9,0.83871,0.79487,0.77341,0.78293,0.83871,0.83871,0.83871
13,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
13,1,0.82299,0.73634,0.72302,0.7292,0.82299,0.82299,0.82299
13,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
13,3,0.7977,0.75441,0.67867,0.69911,0.7977,0.7977,0.7977
13,4,0.84332,0.80478,0.77942,0.79045,0.84332,0.84332,0.84332
13,5,0.8318,0.74693,0.72404,0.73418,0.8318,0.8318,0.8318
13,6,0.8341,0.78929,0.7197,0.74343,0.8341,0.8341,0.8341
13,7,0.84101,0.80913,0.77544,0.78931,0.84101,0.84101,0.84101
13,8,0.81797,0.7825,0.73777,0.75425,0.81797,0.81797,0.81797
13,9,0.84332,0.80244,0.77653,0.78779,0.84332,0.84332,0.84332
14,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
14,1,0.82299,0.73637,0.71911,0.72693,0.82299,0.82299,0.82299
14,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
14,3,0.8023,0.76092,0.68736,0.70823,0.8023,0.8023,0.8023
14,4,0.84332,0.80478,0.77942,0.79045,0.84332,0.84332,0.84332
14,5,0.8318,0.74629,0.73615,0.74096,0.8318,0.8318,0.8318
14,6,0.8318,0.78615,0.71489,0.73876,0.8318,0.8318,0.8318
14,7,0.84332,0.81312,0.77703,0.79173,0.84332,0.84332,0.84332
14,8,0.81336,0.78161,0.72171,0.74135,0.81336,0.81336,0.81336
14,9,0.84562,0.80766,0.77522,0.78888,0.84562,0.84562,0.84562
15,0,0.8069,0.75891,0.70012,0.7193,0.8069,0.8069,0.8069
15,1,0.81839,0.72909,0.71619,0.72217,0.81839,0.81839,0.81839
15,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
15,3,0.8046,0.76233,0.6945,0.71489,0.8046,0.8046,0.8046
15,4,0.84332,0.806,0.77664,0.78913,0.84332,0.84332,0.84332
15,5,0.82949,0.74269,0.73066,0.7363,0.82949,0.82949,0.82949
15,6,0.82949,0.78096,0.71337,0.7363,0.82949,0.82949,0.82949
15,7,0.84101,0.80779,0.77806,0.79057,0.84101,0.84101,0.84101
15,8,0.81567,0.78117,0.73102,0.74873,0.81567,0.81567,0.81567
15,9,0.84562,0.80634,0.77809,0.79024,0.84562,0.84562,0.84562
16,0,0.81609,0.77614,0.7092,0.73065,0.81609,0.81609,0.81609
16,1,0.82299,0.73634,0.72302,0.7292,0.82299,0.82299,0.82299
16,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
16,3,0.8046,0.76601,0.68893,0.7105,0.8046,0.8046,0.8046
16,4,0.83871,0.79946,0.77072,0.78293,0.83871,0.83871,0.83871
16,5,0.8341,0.75025,0.73357,0.74123,0.8341,0.8341,0.8341
16,6,0.82949,0.78096,0.71337,0.7363,0.82949,0.82949,0.82949
16,7,0.84332,0.81167,0.77965,0.79299,0.84332,0.84332,0.84332
16,8,0.81336,0.77566,0.73201,0.74803,0.81336,0.81336,0.81336
16,9,0.84332,0.80645,0.76793,0.78359,0.84332,0.84332,0.84332
17,0,0.82069,0.78403,0.71518,0.73738,0.82069,0.82069,0.82069
17,1,0.81609,0.72538,0.71081,0.71748,0.81609,0.81609,0.81609
17,2,0.86667,0.82229,0.78366,0.80012,0.86667,0.86667,0.86667
17,3,0.8069,0.76915,0.69327,0.71501,0.8069,0.8069,0.8069
17,4,0.84101,0.801,0.77785,0.78802,0.84101,0.84101,0.84101
17,5,0.8341,0.75001,0.73761,0.74343,0.8341,0.8341,0.8341
17,6,0.8318,0.78615,0.71489,0.73876,0.8318,0.8318,0.8318
17,7,0.84332,0.81312,0.77703,0.79173,0.84332,0.84332,0.84332
17,8,0.81106,0.77285,0.72784,0.7441,0.81106,0.81106,0.81106
17,9,0.84332,0.80645,0.76793,0.78359,0.84332,0.84332,0.84332
18,0,0.81379,0.76972,0.71052,0.73033,0.81379,0.81379,0.81379
18,1,0.81609,0.72538,0.71081,0.71748,0.81609,0.81609,0.81609
18,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
18,3,0.8092,0.77224,0.69762,0.71948,0.8092,0.8092,0.8092
18,4,0.83871,0.79729,0.77628,0.7856,0.83871,0.83871,0.83871
18,5,0.8341,0.75001,0.73761,0.74343,0.8341,0.8341,0.8341
18,6,0.8341,0.78727,0.72299,0.74558,0.8341,0.8341,0.8341
18,7,0.84562,0.81718,0.77862,0.79416,0.84562,0.84562,0.84562
18,8,0.81336,0.77336,0.73715,0.75115,0.81336,0.81336,0.81336
18,9,0.84101,0.80232,0.76637,0.78114,0.84101,0.84101,0.84101
19,0,0.81379,0.76824,0.71339,0.73231,0.81379,0.81379,0.81379
19,1,0.81839,0.72947,0.72401,0.72666,0.81839,0.81839,0.81839
19,2,0.86667,0.82229,0.78366,0.80012,0.86667,0.86667,0.86667
19,3,0.8046,0.76409,0.69171,0.71272,0.8046,0.8046,0.8046
19,4,0.85253,0.82405,0.78013,0.79767,0.85253,0.85253,0.85253
19,5,0.8341,0.75001,0.73761,0.74343,0.8341,0.8341,0.8341
19,6,0.8341,0.78727,0.72299,0.74558,0.8341,0.8341,0.8341
19,7,0.84793,0.8231,0.77759,0.79534,0.84793,0.84793,0.84793
19,8,0.81336,0.77566,0.73201,0.74803,0.81336,0.81336,0.81336
19,9,0.84101,0.80232,0.76637,0.78114,0.84101,0.84101,0.84101
20,0,0.81839,0.77914,0.71363,0.73502,0.81839,0.81839,0.81839
20,1,0.81149,0.71876,0.7118,0.71513,0.81149,0.81149,0.81149
20,2,0.87126,0.82601,0.79716,0.81001,0.87126,0.87126,0.87126
20,3,0.8069,0.76722,0.69606,0.71718,0.8069,0.8069,0.8069
20,4,0.83641,0.79563,0.76916,0.78052,0.83641,0.83641,0.83641
20,5,0.8341,0.75001,0.73761,0.74343,0.8341,0.8341,0.8341
20,6,0.83641,0.79238,0.7245,0.74806,0.83641,0.83641,0.83641
20,7,0.84793,0.82502,0.77498,0.79403,0.84793,0.84793,0.84793
20,8,0.81336,0.77697,0.72943,0.74641,0.81336,0.81336,0.81336
20,9,0.84101,0.80232,0.76637,0.78114,0.84101,0.84101,0.84101
21,0,0.81609,0.77437,0.71207,0.73267,0.81609,0.81609,0.81609
21,1,0.82069,0.73269,0.71765,0.72454,0.82069,0.82069,0.82069
21,2,0.86897,0.82328,0.79216,0.80587,0.86897,0.86897,0.86897
21,3,0.8069,0.76722,0.69606,0.71718,0.8069,0.8069,0.8069
21,4,0.84101,0.80336,0.77229,0.78536,0.84101,0.84101,0.84101
21,5,0.83641,0.75416,0.73503,0.74372,0.83641,0.83641,0.83641
21,6,0.84101,0.80299,0.72753,0.75307,0.84101,0.84101,0.84101
