round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.75355,0.87643,0.50554,0.44047,0.75355,0.75355,0.75355,0.47828
2,0.80402,0.78041,0.64235,0.66476,0.80402,0.80402,0.80402,0.41224
3,0.82575,0.77618,0.72842,0.74639,0.82575,0.82575,0.82575,0.386
4,0.83164,0.78376,0.74049,0.75743,0.83164,0.83164,0.83164,0.37501
5,0.83404,0.78976,0.73913,0.75823,0.83404,0.83404,0.83404,0.36857
6,0.83809,0.7935,0.74997,0.76719,0.83809,0.83809,0.83809,0.36351
7,0.83846,0.79315,0.75244,0.7688,0.83846,0.83846,0.83846,0.35974
8,0.83901,0.79949,0.74293,0.76384,0.83901,0.83901,0.83901,0.35683
9,0.83883,0.79616,0.74799,0.76661,0.83883,0.83883,0.83883,0.35409
10,0.83938,0.79672,0.74935,0.76775,0.83938,0.83938,0.83938,0.35209
11,0.84049,0.801,0.74638,0.76685,0.84049,0.84049,0.84049,0.35054
12,0.84104,0.79982,0.7507,0.76967,0.84104,0.84104,0.84104,0.34919
13,0.83754,0.80072,0.73528,0.75826,0.83754,0.83754,0.83754,0.34889
14,0.83809,0.8004,0.73787,0.76021,0.83809,0.83809,0.83809,0.34749
15,0.84049,0.80254,0.74391,0.76543,0.84049,0.84049,0.84049,0.34608
16,0.8403,0.79589,0.75515,0.77157,0.8403,0.8403,0.8403,0.34568
17,0.84159,0.80177,0.74959,0.76944,0.84159,0.84159,0.84159,0.34454
18,0.84141,0.80289,0.74699,0.76785,0.84141,0.84141,0.84141,0.34405
19,0.8403,0.79353,0.76058,0.77442,0.8403,0.8403,0.8403,0.3442
20,0.84251,0.80549,0.74724,0.76876,0.84251,0.84251,0.84251,0.34289
21,0.84141,0.80014,0.75169,0.77048,0.84141,0.84141,0.84141,0.34226
22,0.84214,0.80378,0.74847,0.76921,0.84214,0.84214,0.84214,0.34173
23,0.84251,0.80378,0.74995,0.7703,0.84251,0.84251,0.84251,0.34127
24,0.84251,0.80378,0.74995,0.7703,0.84251,0.84251,0.84251,0.34091
25,0.84085,0.80116,0.74761,0.76781,0.84085,0.84085,0.84085,0.34039
26,0.84067,0.79897,0.7507,0.76941,0.84067,0.84067,0.84067,0.34009
27,0.8392,0.79406,0.75392,0.77012,0.8392,0.8392,0.8392,0.33985
28,0.84233,0.79958,0.75674,0.77388,0.84233,0.84233,0.84233,0.33939
29,0.84122,0.80089,0.74959,0.76918,0.84122,0.84122,0.84122,0.33895
30,0.8403,0.79709,0.75268,0.77024,0.8403,0.8403,0.8403,0.33886
31,0.83957,0.7913,0.76256,0.77489,0.83957,0.83957,0.83957,0.33926
32,0.84104,0.79623,0.75786,0.77354,0.84104,0.84104,0.84104,0.33847
33,0.83993,0.79846,0.74848,0.76766,0.83993,0.83993,0.83993,0.33781
34,0.83993,0.80317,0.74083,0.76323,0.83993,0.83993,0.83993,0.33864
35,0.84159,0.8025,0.74835,0.76875,0.84159,0.84159,0.84159,0.3376
36,0.84085,0.80221,0.74589,0.76683,0.84085,0.84085,0.84085,0.33825
37,0.84196,0.80193,0.75082,0.77039,0.84196,0.84196,0.84196,0.33739
38,0.84251,0.80393,0.74971,0.77016,0.84251,0.84251,0.84251,0.33771
39,0.84214,0.80077,0.75366,0.77208,0.84214,0.84214,0.84214,0.33676
40,0.84141,0.80367,0.74576,0.76714,0.84141,0.84141,0.84141,0.33746
41,0.84141,0.80083,0.75045,0.7698,0.84141,0.84141,0.84141,0.33723
42,0.84178,0.80318,0.74798,0.76867,0.84178,0.84178,0.84178,0.33684
43,0.83993,0.79753,0.75021,0.76862,0.83993,0.83993,0.83993,0.33645
44,0.83901,0.79135,0.75947,0.77291,0.83901,0.83901,0.83901,0.33712
45,0.8427,0.80254,0.75279,0.77201,0.8427,0.8427,0.8427,0.3365
46,0.84178,0.80114,0.75144,0.7706,0.84178,0.84178,0.84178,0.33614
47,0.84178,0.80142,0.75094,0.77033,0.84178,0.84178,0.84178,0.33624
48,0.84343,0.8052,0.75131,0.77171,0.84343,0.84343,0.84343,0.33625
49,0.84159,0.7988,0.75502,0.77242,0.84159,0.84159,0.84159,0.33635
50,0.84251,0.8026,0.75193,0.7714,0.84251,0.84251,0.84251,0.33593
