round,comm_costs
1,93180
2,93180
3,93180
4,93180
5,93180
6,93180
7,93180
8,93180
9,93180
10,93180
11,93180
12,93180
13,93180
14,93180
15,93180
16,93180
17,93180
18,93180
19,93180
20,93180
21,93180
22,93180
23,93180
24,93180
25,93180
26,93180
27,93180
28,93180
29,93180
30,93180
31,93180
32,93180
33,93180
34,93180
35,93180
36,93180
37,93180
38,93180
39,93180
40,93180
41,93180
42,93180
43,93180
44,93180
45,93180
46,93180
47,93180
48,93180
49,93180
50,93180
