round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
3,0.7576,0.84323,0.51441,0.45911,0.7576,0.7576,0.7576
4,0.78246,0.79107,0.57763,0.57567,0.78246,0.78246,0.78246
5,0.80844,0.77344,0.66233,0.6866,0.80844,0.80844,0.80844
6,0.81857,0.77331,0.70092,0.72362,0.81857,0.81857,0.81857
7,0.82391,0.7764,0.71905,0.73929,0.82391,0.82391,0.82391
8,0.82501,0.77531,0.7267,0.74485,0.82501,0.82501,0.82501
9,0.82759,0.77839,0.73261,0.75011,0.82759,0.82759,0.82759
10,0.83091,0.78281,0.73901,0.75608,0.83091,0.83091,0.83091
11,0.83349,0.78622,0.74394,0.76064,0.83349,0.83349,0.83349
12,0.83514,0.78865,0.74653,0.76323,0.83514,0.83514,0.83514
13,0.83607,0.79026,0.74739,0.76435,0.83607,0.83607,0.83607
14,0.83772,0.79352,0.74824,0.76598,0.83772,0.83772,0.83772
15,0.83846,0.79384,0.75096,0.76799,0.83846,0.83846,0.83846
16,0.83717,0.79308,0.74664,0.7647,0.83717,0.83717,0.83717
17,0.83754,0.79404,0.74639,0.76481,0.83754,0.83754,0.83754
18,0.83717,0.79295,0.74689,0.76483,0.83717,0.83717,0.83717
19,0.83717,0.79371,0.74541,0.764,0.83717,0.83717,0.83717
20,0.83643,0.79291,0.74368,0.76251,0.83643,0.83643,0.83643
21,0.83607,0.79245,0.74294,0.76183,0.83607,0.83607,0.83607
22,0.83699,0.794,0.74405,0.7631,0.83699,0.83699,0.83699
23,0.83754,0.79482,0.74491,0.76397,0.83754,0.83754,0.83754
24,0.83754,0.79563,0.74343,0.76312,0.83754,0.83754,0.83754
25,0.83754,0.79443,0.74565,0.76439,0.83754,0.83754,0.83754
26,0.83828,0.79614,0.74565,0.7649,0.83828,0.83828,0.83828
27,0.83883,0.79779,0.74503,0.76493,0.83883,0.83883,0.83883
28,0.83883,0.79779,0.74503,0.76493,0.83883,0.83883,0.83883
29,0.83975,0.7981,0.74836,0.76746,0.83975,0.83975,0.83975
30,0.83993,0.79833,0.74873,0.76779,0.83993,0.83993,0.83993
31,0.84012,0.79925,0.74786,0.76744,0.84012,0.84012,0.84012
32,0.84049,0.79928,0.74934,0.76853,0.84049,0.84049,0.84049
33,0.83938,0.79862,0.74589,0.7658,0.83938,0.83938,0.83938
34,0.83993,0.7993,0.747,0.76682,0.83993,0.83993,0.83993
35,0.83993,0.79902,0.74749,0.7671,0.83993,0.83993,0.83993
36,0.8403,0.79961,0.74799,0.76764,0.8403,0.8403,0.8403
37,0.84067,0.79993,0.74897,0.76845,0.84067,0.84067,0.84067
38,0.84049,0.80027,0.74762,0.76756,0.84049,0.84049,0.84049
39,0.8403,0.79906,0.74897,0.76819,0.8403,0.8403,0.8403
40,0.83993,0.79944,0.74675,0.76668,0.83993,0.83993,0.83993
41,0.84012,0.79911,0.74811,0.76758,0.84012,0.84012,0.84012
42,0.8403,0.79933,0.74848,0.76791,0.8403,0.8403,0.8403
43,0.8403,0.79947,0.74823,0.76777,0.8403,0.8403,0.8403
44,0.84085,0.80087,0.74811,0.76809,0.84085,0.84085,0.84085
45,0.84012,0.79869,0.74885,0.76799,0.84012,0.84012,0.84012
46,0.84122,0.79951,0.75206,0.77055,0.84122,0.84122,0.84122
47,0.84085,0.79946,0.75058,0.76947,0.84085,0.84085,0.84085
48,0.84141,0.80069,0.7507,0.76993,0.84141,0.84141,0.84141
49,0.84122,0.79991,0.75132,0.77014,0.84122,0.84122,0.84122
50,0.84085,0.79946,0.75058,0.76947,0.84085,0.84085,0.84085
