round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,1,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,2,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,3,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,4,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,5,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,6,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,7,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,1,0.75262,0.87608,0.5037,0.43662,0.75262,0.75262,0.75262
2,2,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,3,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
2,4,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
2,5,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
2,6,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,7,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,9,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
3,0,0.75778,0.84409,0.51478,0.45985,0.75778,0.75778,0.75778
3,1,0.7576,0.84323,0.51441,0.45911,0.7576,0.7576,0.7576
3,2,0.75852,0.82305,0.517,0.46476,0.75852,0.75852,0.75852
3,3,0.75612,0.83469,0.51146,0.45315,0.75612,0.75612,0.75612
3,4,0.75926,0.81447,0.51897,0.46896,0.75926,0.75926,0.75926
3,5,0.75852,0.81615,0.51725,0.4654,0.75852,0.75852,0.75852
3,6,0.75741,0.84233,0.51404,0.45837,0.75741,0.75741,0.75741
3,7,0.75907,0.81954,0.51836,0.46759,0.75907,0.75907,0.75907
3,8,0.75797,0.82733,0.51565,0.4619,0.75797,0.75797,0.75797
3,9,0.75576,0.8451,0.51047,0.45097,0.75576,0.75576,0.75576
4,0,0.78486,0.77356,0.58935,0.59425,0.78486,0.78486,0.78486
4,1,0.7867,0.78634,0.59008,0.59502,0.7867,0.7867,0.7867
4,2,0.78689,0.77734,0.59366,0.60054,0.78689,0.78689,0.78689
4,3,0.77841,0.8012,0.56531,0.55517,0.77841,0.77841,0.77841
4,4,0.78375,0.78478,0.58269,0.5838,0.78375,0.78375,0.78375
4,5,0.78081,0.79574,0.57233,0.56698,0.78081,0.78081,0.78081
4,6,0.7797,0.79785,0.56913,0.56166,0.7797,0.7797,0.7797
4,7,0.7856,0.77869,0.5896,0.59448,0.7856,0.7856,0.7856
4,8,0.77933,0.80342,0.56716,0.55818,0.77933,0.77933,0.77933
4,9,0.7797,0.79909,0.56888,0.5612,0.7797,0.7797,0.7797
5,0,0.80973,0.77729,0.66319,0.68789,0.80973,0.80973,0.80973
5,1,0.80623,0.77559,0.65296,0.67662,0.80623,0.80623,0.80623
5,2,0.80733,0.77251,0.65937,0.68336,0.80733,0.80733,0.80733
5,3,0.80733,0.77304,0.65888,0.68288,0.80733,0.80733,0.80733
5,4,0.81194,0.77069,0.67799,0.70216,0.81194,0.81194,0.81194
5,5,0.80659,0.77617,0.6537,0.67748,0.80659,0.80659,0.80659
5,6,0.80991,0.77367,0.66726,0.69178,0.80991,0.80991,0.80991
5,7,0.80457,0.77175,0.65062,0.67372,0.80457,0.80457,0.80457
5,8,0.81065,0.77454,0.66899,0.69365,0.81065,0.81065,0.81065
5,9,0.80917,0.77405,0.6643,0.68874,0.80917,0.80917,0.80917
6,0,0.81765,0.777,0.69192,0.71628,0.81765,0.81765,0.81765
6,1,0.82041,0.77323,0.70906,0.73048,0.82041,0.82041,0.82041
6,2,0.82059,0.77191,0.71239,0.73288,0.82059,0.82059,0.82059
6,3,0.81746,0.7781,0.68982,0.71453,0.81746,0.81746,0.81746
6,4,0.81875,0.77584,0.69784,0.72142,0.81875,0.81875,0.81875
6,5,0.81857,0.77269,0.70191,0.72435,0.81857,0.81857,0.81857
6,6,0.81838,0.77432,0.69858,0.72178,0.81838,0.81838,0.81838
6,7,0.81894,0.77397,0.70142,0.72419,0.81894,0.81894,0.81894
6,8,0.81875,0.77265,0.70277,0.72508,0.81875,0.81875,0.81875
6,9,0.81912,0.77258,0.7045,0.72653,0.81912,0.81912,0.81912
7,0,0.82391,0.77666,0.71855,0.73896,0.82391,0.82391,0.82391
7,1,0.8228,0.77792,0.7114,0.73348,0.8228,0.8228,0.8228
7,2,0.82317,0.77049,0.72893,0.74507,0.82317,0.82317,0.82317
7,3,0.82372,0.77816,0.71497,0.73646,0.82372,0.82372,0.82372
7,4,0.82262,0.77232,0.7214,0.74003,0.82262,0.82262,0.82262
7,5,0.82354,0.77446,0.72127,0.74051,0.82354,0.82354,0.82354
7,6,0.82262,0.77812,0.71029,0.7326,0.82262,0.82262,0.82262
7,7,0.82391,0.77578,0.72028,0.74009,0.82391,0.82391,0.82391
7,8,0.82391,0.77731,0.71732,0.73814,0.82391,0.82391,0.82391
7,9,0.82428,0.77603,0.72151,0.74112,0.82428,0.82428,0.82428
8,0,0.82741,0.77783,0.73298,0.75022,0.82741,0.82741,0.82741
8,1,0.82501,0.77478,0.72793,0.74562,0.82501,0.82501,0.82501
8,2,0.82557,0.77451,0.73151,0.74815,0.82557,0.82557,0.82557
8,3,0.82575,0.78188,0.71731,0.73924,0.82575,0.82575,0.82575
8,4,0.82557,0.7767,0.72632,0.74497,0.82557,0.82557,0.82557
8,5,0.82428,0.77521,0.72324,0.74222,0.82428,0.82428,0.82428
8,6,0.82501,0.77531,0.7267,0.74485,0.82501,0.82501,0.82501
8,7,0.82593,0.77539,0.73126,0.74824,0.82593,0.82593,0.82593
8,8,0.82538,0.77506,0.72916,0.74661,0.82538,0.82538,0.82538
8,9,0.82538,0.77516,0.72892,0.74646,0.82538,0.82538,0.82538
9,0,0.82686,0.7783,0.72916,0.74754,0.82686,0.82686,0.82686
9,1,0.82815,0.78045,0.73076,0.74935,0.82815,0.82815,0.82815
9,2,0.82759,0.77679,0.73656,0.75246,0.82759,0.82759,0.82759
9,3,0.82833,0.78057,0.73137,0.74984,0.82833,0.82833,0.82833
9,4,0.82686,0.77564,0.73558,0.7514,0.82686,0.82686,0.82686
9,5,0.82778,0.77722,0.73644,0.75251,0.82778,0.82778,0.82778
9,6,0.82833,0.78239,0.72767,0.74755,0.82833,0.82833,0.82833
9,7,0.82778,0.77928,0.7315,0.74956,0.82778,0.82778,0.82778
9,8,0.82851,0.77981,0.73396,0.75152,0.82851,0.82851,0.82851
9,9,0.82815,0.77988,0.73199,0.7501,0.82815,0.82815,0.82815
10,0,0.83238,0.78605,0.73901,0.75706,0.83238,0.83238,0.83238
10,1,0.83146,0.78374,0.73963,0.7568,0.83146,0.83146,0.83146
10,2,0.83164,0.78176,0.74543,0.76022,0.83164,0.83164,0.83164
10,3,0.83146,0.78765,0.73173,0.75208,0.83146,0.83146,0.83146
10,4,0.83091,0.78177,0.74148,0.7575,0.83091,0.83091,0.83091
10,5,0.83164,0.78344,0.74123,0.75785,0.83164,0.83164,0.83164
10,6,0.83146,0.78385,0.73938,0.75666,0.83146,0.83146,0.83146
10,7,0.83054,0.78452,0.73359,0.75261,0.83054,0.83054,0.83054
10,8,0.8322,0.78581,0.73864,0.75672,0.8322,0.8322,0.8322
10,9,0.83146,0.7832,0.74086,0.75752,0.83146,0.83146,0.83146
11,0,0.83201,0.78629,0.73679,0.7555,0.83201,0.83201,0.83201
11,1,0.83422,0.78828,0.74295,0.76058,0.83422,0.83422,0.83422
11,2,0.8333,0.78474,0.74653,0.76197,0.8333,0.8333,0.8333
11,3,0.83496,0.78933,0.74418,0.76178,0.83496,0.83496,0.83496
11,4,0.83404,0.7866,0.74579,0.76206,0.83404,0.83404,0.83404
11,5,0.83367,0.78521,0.74727,0.76263,0.83367,0.83367,0.83367
11,6,0.83349,0.78518,0.74641,0.76203,0.83349,0.83349,0.83349
11,7,0.83422,0.78673,0.74641,0.76253,0.83422,0.83422,0.83422
11,8,0.83275,0.78606,0.74074,0.75831,0.83275,0.83275,0.83275
11,9,0.83238,0.78481,0.74172,0.75863,0.83238,0.83238,0.83238
12,0,0.83459,0.78829,0.74468,0.76181,0.83459,0.83459,0.83459
12,1,0.8357,0.78828,0.7501,0.76559,0.8357,0.8357,0.8357
12,2,0.83533,0.78911,0.7464,0.76329,0.83533,0.83533,0.83533
12,3,0.83441,0.78985,0.7406,0.75935,0.83441,0.83441,0.83441
