round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.74023,0.37011,0.5,0.42536,0.74023,0.74023,0.74023
1,1,0.78621,0.3931,0.5,0.44015,0.78621,0.78621,0.78621
1,2,0.77011,0.38506,0.5,0.43506,0.77011,0.77011,0.77011
1,3,0.73563,0.36782,0.5,0.42384,0.73563,0.73563,0.73563
1,4,0.73502,0.36751,0.5,0.42364,0.73502,0.73502,0.73502
1,5,0.79032,0.39516,0.5,0.44144,0.79032,0.79032,0.79032
1,6,0.76037,0.38018,0.5,0.43194,0.76037,0.76037,0.76037
1,7,0.72581,0.3629,0.5,0.42056,0.72581,0.72581,0.72581
1,8,0.7235,0.36175,0.5,0.41979,0.7235,0.7235,0.7235
1,9,0.73963,0.36982,0.5,0.42517,0.73963,0.73963,0.73963
2,0,0.74023,0.37011,0.5,0.42536,0.74023,0.74023,0.74023
2,1,0.78851,0.89401,0.50538,0.45136,0.78851,0.78851,0.78851
2,2,0.77011,0.38506,0.5,0.43506,0.77011,0.77011,0.77011
2,3,0.73563,0.36782,0.5,0.42384,0.73563,0.73563,0.73563
2,4,0.73502,0.36751,0.5,0.42364,0.73502,0.73502,0.73502
2,5,0.79263,0.89607,0.50549,0.45288,0.79263,0.79263,0.79263
2,6,0.76037,0.38018,0.5,0.43194,0.76037,0.76037,0.76037
2,7,0.72581,0.3629,0.5,0.42056,0.72581,0.72581,0.72581
2,8,0.7235,0.36175,0.5,0.41979,0.7235,0.7235,0.7235
2,9,0.73963,0.36982,0.5,0.42517,0.73963,0.73963,0.73963
3,0,0.74943,0.79079,0.52057,0.46945,0.74943,0.74943,0.74943
3,1,0.7908,0.89492,0.51075,0.46234,0.7908,0.7908,0.7908
3,2,0.77931,0.76493,0.52701,0.49256,0.77931,0.77931,0.77931
3,3,0.74023,0.86952,0.5087,0.44206,0.74023,0.74023,0.74023
3,4,0.74885,0.87266,0.52609,0.47663,0.74885,0.74885,0.74885
3,5,0.79263,0.68384,0.5176,0.48237,0.79263,0.79263,0.79263
3,6,0.76728,0.88283,0.51442,0.46168,0.76728,0.76728,0.76728
3,7,0.73502,0.78349,0.51942,0.46261,0.73502,0.73502,0.73502
3,8,0.72581,0.86259,0.50417,0.42861,0.72581,0.72581,0.72581
3,9,0.74654,0.87239,0.51327,0.45272,0.74654,0.74654,0.74654
4,0,0.76782,0.79916,0.56171,0.54617,0.76782,0.76782,0.76782
4,1,0.7977,0.70488,0.56603,0.56861,0.7977,0.7977,0.7977
4,2,0.81609,0.78639,0.63507,0.65949,0.81609,0.81609,0.81609
4,3,0.75402,0.82529,0.53757,0.50019,0.75402,0.75402,0.75402
4,4,0.80184,0.83337,0.63999,0.66056,0.80184,0.80184,0.80184
4,5,0.80645,0.72391,0.57883,0.58807,0.80645,0.80645,0.80645
4,6,0.79032,0.85927,0.56579,0.5569,0.79032,0.79032,0.79032
4,7,0.76267,0.75684,0.58814,0.58711,0.76267,0.76267,0.76267
4,8,0.75115,0.8369,0.55257,0.52345,0.75115,0.75115,0.75115
4,9,0.77419,0.83171,0.57211,0.56221,0.77419,0.77419,0.77419
5,0,0.78391,0.75587,0.61853,0.63289,0.78391,0.78391,0.78391
5,1,0.81609,0.73279,0.64818,0.67078,0.81609,0.81609,0.81609
5,2,0.83678,0.79841,0.69761,0.7268,0.83678,0.83678,0.83678
5,3,0.76322,0.70947,0.59395,0.59974,0.76322,0.76322,0.76322
5,4,0.82719,0.79955,0.72674,0.75014,0.82719,0.82719,0.82719
5,5,0.81797,0.72726,0.65878,0.67996,0.81797,0.81797,0.81797
5,6,0.79263,0.75863,0.59694,0.60764,0.79263,0.79263,0.79263
5,7,0.80876,0.79738,0.68786,0.71264,0.80876,0.80876,0.80876
5,8,0.77189,0.74675,0.62354,0.63629,0.77189,0.77189,0.77189
5,9,0.81797,0.80343,0.68772,0.71484,0.81797,0.81797,0.81797
6,0,0.7931,0.74718,0.65921,0.67948,0.7931,0.7931,0.7931
6,1,0.82759,0.74716,0.69855,0.7169,0.82759,0.82759,0.82759
6,2,0.83678,0.77851,0.72918,0.74821,0.83678,0.83678,0.83678
6,3,0.77011,0.70984,0.62649,0.6408,0.77011,0.77011,0.77011
6,4,0.82719,0.78706,0.7462,0.76211,0.82719,0.82719,0.82719
6,5,0.82258,0.73231,0.69399,0.70919,0.82258,0.82258,0.82258
6,6,0.81336,0.75906,0.67643,0.69971,0.81336,0.81336,0.81336
6,7,0.82949,0.81212,0.73352,0.75791,0.82949,0.82949,0.82949
6,8,0.79032,0.75196,0.68004,0.69906,0.79032,0.79032,0.79032
6,9,0.82949,0.79736,0.72991,0.75256,0.82949,0.82949,0.82949
7,0,0.8069,0.76557,0.68863,0.71051,0.8069,0.8069,0.8069
7,1,0.82529,0.74095,0.70883,0.72218,0.82529,0.82529,0.82529
7,2,0.84138,0.78118,0.7497,0.76315,0.84138,0.84138,0.84138
7,3,0.78161,0.7282,0.65102,0.66863,0.78161,0.78161,0.78161
7,4,0.8341,0.79816,0.75369,0.77086,0.8341,0.8341,0.8341
7,5,0.82028,0.72787,0.69657,0.7095,0.82028,0.82028,0.82028
7,6,0.80645,0.74777,0.662,0.68424,0.80645,0.80645,0.80645
7,7,0.82949,0.80499,0.74136,0.7629,0.82949,0.82949,0.82949
7,8,0.79724,0.75538,0.70284,0.71994,0.79724,0.79724,0.79724
7,9,0.82488,0.78283,0.7354,0.75311,0.82488,0.82488,0.82488
8,0,0.8023,0.75389,0.6884,0.70823,0.8023,0.8023,0.8023
8,1,0.83218,0.75149,0.72887,0.73891,0.83218,0.83218,0.83218
8,2,0.84598,0.79112,0.74918,0.7663,0.84598,0.84598,0.84598
8,3,0.78621,0.73405,0.6625,0.68077,0.78621,0.78621,0.78621
8,4,0.82949,0.78637,0.75889,0.77053,0.82949,0.82949,0.82949
8,5,0.82488,0.7355,0.71159,0.72203,0.82488,0.82488,0.82488
8,6,0.81797,0.76426,0.68934,0.71233,0.81797,0.81797,0.81797
8,7,0.8341,0.80623,0.755,0.77386,0.8341,0.8341,0.8341
8,8,0.80415,0.76853,0.70762,0.72673,0.80415,0.80415,0.80415
8,9,0.83641,0.79429,0.76325,0.77627,0.83641,0.83641,0.83641
9,0,0.8023,0.75247,0.69127,0.71045,0.8023,0.8023,0.8023
9,1,0.83678,0.7585,0.73962,0.74821,0.83678,0.83678,0.83678
9,2,0.85517,0.80311,0.76918,0.78374,0.85517,0.85517,0.85517
9,3,0.77931,0.72185,0.65224,0.66916,0.77931,0.77931,0.77931
9,4,0.8318,0.78733,0.7688,0.77709,0.8318,0.8318,0.8318
9,5,0.82028,0.7278,0.70868,0.71722,0.82028,0.82028,0.82028
9,6,0.82028,0.76772,0.69414,0.71722,0.82028,0.82028,0.82028
9,7,0.8341,0.80289,0.76022,0.77673,0.8341,0.8341,0.8341
9,8,0.82028,0.78818,0.73678,0.75502,0.82028,0.82028,0.82028
9,9,0.8318,0.78998,0.75154,0.7669,0.8318,0.8318,0.8318
10,0,0.8046,0.75571,0.69569,0.71489,0.8046,0.8046,0.8046
10,1,0.83218,0.75083,0.7367,0.74327,0.83218,0.83218,0.83218
10,2,0.85747,0.80602,0.77418,0.78801,0.85747,0.85747,0.85747
10,3,0.78391,0.72916,0.66094,0.6786,0.78391,0.78391,0.78391
10,4,0.83641,0.79677,0.76638,0.77913,0.83641,0.83641,0.83641
10,5,0.82719,0.73905,0.72516,0.7316,0.82719,0.82719,0.82719
10,6,0.82258,0.77111,0.69895,0.72206,0.82258,0.82258,0.82258
10,7,0.82949,0.79476,0.75705,0.77196,0.82949,0.82949,0.82949
10,8,0.81567,0.78117,0.73102,0.74873,0.81567,0.81567,0.81567
10,9,0.83641,0.79553,0.76039,0.7748,0.83641,0.83641,0.83641
11,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
11,1,0.82529,0.73995,0.73231,0.73598,0.82529,0.82529,0.82529
11,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
11,3,0.78391,0.73189,0.65537,0.67344,0.78391,0.78391,0.78391
11,4,0.83871,0.79946,0.77072,0.78293,0.83871,0.83871,0.83871
11,5,0.82949,0.7428,0.72662,0.73404,0.82949,0.82949,0.82949
11,6,0.8341,0.78727,0.72299,0.74558,0.8341,0.8341,0.8341
11,7,0.83871,0.80657,0.77124,0.7856,0.83871,0.83871,0.83871
11,8,0.80876,0.77002,0.72367,0.74015,0.80876,0.80876,0.80876
11,9,0.83871,0.79487,0.77341,0.78293,0.83871,0.83871,0.83871
12,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
12,1,0.82759,0.74374,0.72595,0.73402,0.82759,0.82759,0.82759
12,2,0.85747,0.80602,0.77418,0.78801,0.85747,0.85747,0.85747
12,3,0.7908,0.73967,0.67398,0.69245,0.7908,0.7908,0.7908
12,4,0.83641,0.79365,0.77472,0.7832,0.83641,0.83641,0.83641
12,5,0.82949,0.7428,0.72662,0.73404,0.82949,0.82949,0.82949
12,6,0.8318,0.78414,0.71818,0.74096,0.8318,0.8318,0.8318
12,7,0.83871,0.80398,0.77647,0.78816,0.83871,0.83871,0.83871
12,8,0.81567,0.77844,0.73617,0.75192,0.81567,0.81567,0.81567
12,9,0.83871,0.79487,0.77341,0.78293,0.83871,0.83871,0.83871
13,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
13,1,0.82529,0.73994,0.7284,0.73382,0.82529,0.82529,0.82529
13,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
13,3,0.7977,0.75441,0.67867,0.69911,0.7977,0.7977,0.7977
13,4,0.84101,0.801,0.77785,0.78802,0.84101,0.84101,0.84101
13,5,0.8318,0.74693,0.72404,0.73418,0.8318,0.8318,0.8318
13,6,0.8318,0.78414,0.71818,0.74096,0.8318,0.8318,0.8318
13,7,0.83871,0.80657,0.77124,0.7856,0.83871,0.83871,0.83871
13,8,0.82028,0.78665,0.73936,0.75659,0.82028,0.82028,0.82028
13,9,0.84562,0.80512,0.78095,0.79158,0.84562,0.84562,0.84562
14,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
14,1,0.82299,0.73637,0.71911,0.72693,0.82299,0.82299,0.82299
14,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
14,3,0.8023,0.76092,0.68736,0.70823,0.8023,0.8023,0.8023
14,4,0.84101,0.80213,0.77507,0.7867,0.84101,0.84101,0.84101
14,5,0.82719,0.73904,0.7292,0.73387,0.82719,0.82719,0.82719
14,6,0.8318,0.78414,0.71818,0.74096,0.8318,0.8318,0.8318
14,7,0.84332,0.81312,0.77703,0.79173,0.84332,0.84332,0.84332
14,8,0.81336,0.78161,0.72171,0.74135,0.81336,0.81336,0.81336
14,9,0.84562,0.80766,0.77522,0.78888,0.84562,0.84562,0.84562
15,0,0.8092,0.76206,0.70454,0.72367,0.8092,0.8092,0.8092
15,1,0.82299,0.73638,0.72694,0.73141,0.82299,0.82299,0.82299
15,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
15,3,0.8,0.75436,0.68859,0.70819,0.8,0.8,0.8
15,4,0.84332,0.80734,0.77386,0.78779,0.84332,0.84332,0.84332
15,5,0.8318,0.74629,0.73615,0.74096,0.8318,0.8318,0.8318
15,6,0.82949,0.78096,0.71337,0.7363,0.82949,0.82949,0.82949
15,7,0.83641,0.80023,0.77488,0.78577,0.83641,0.83641,0.83641
15,8,0.81336,0.77839,0.72686,0.74476,0.81336,0.81336,0.81336
15,9,0.84793,0.80899,0.78251,0.79403,0.84793,0.84793,0.84793
16,0,0.81609,0.77614,0.7092,0.73065,0.81609,0.81609,0.81609
16,1,0.82529,0.73994,0.7284,0.73382,0.82529,0.82529,0.82529
16,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
16,3,0.8046,0.76601,0.68893,0.7105,0.8046,0.8046,0.8046
16,4,0.83871,0.79946,0.77072,0.78293,0.83871,0.83871,0.83871
16,5,0.83641,0.75381,0.73907,0.74592,0.83641,0.83641,0.83641
16,6,0.82949,0.77913,0.71667,0.73851,0.82949,0.82949,0.82949
16,7,0.84332,0.81167,0.77965,0.79299,0.84332,0.84332,0.84332
16,8,0.81336,0.77566,0.73201,0.74803,0.81336,0.81336,0.81336
16,9,0.84101,0.80378,0.7635,0.77967,0.84101,0.84101,0.84101
17,0,0.81839,0.77914,0.71363,0.73502,0.81839,0.81839,0.81839
17,1,0.81839,0.72909,0.71619,0.72217,0.81839,0.81839,0.81839
17,2,0.86667,0.82229,0.78366,0.80012,0.86667,0.86667,0.86667
17,3,0.8069,0.76915,0.69327,0.71501,0.8069,0.8069,0.8069
17,4,0.84101,0.801,0.77785,0.78802,0.84101,0.84101,0.84101
17,5,0.82949,0.74265,0.73469,0.73851,0.82949,0.82949,0.82949
17,6,0.82949,0.78096,0.71337,0.7363,0.82949,0.82949,0.82949
17,7,0.84101,0.81059,0.77283,0.78802,0.84101,0.84101,0.84101
17,8,0.81567,0.77975,0.7336,0.75035,0.81567,0.81567,0.81567
17,9,0.84332,0.80645,0.76793,0.78359,0.84332,0.84332,0.84332
18,0,0.81609,0.77437,0.71207,0.73267,0.81609,0.81609,0.81609
18,1,0.81839,0.72909,0.71619,0.72217,0.81839,0.81839,0.81839
18,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
18,3,0.81149,0.77528,0.70197,0.72392,0.81149,0.81149,0.81149
18,4,0.83641,0.79459,0.77194,0.78187,0.83641,0.83641,0.83641
18,5,0.8318,0.74629,0.73615,0.74096,0.8318,0.8318,0.8318
18,6,0.8318,0.7823,0.72147,0.74311,0.8318,0.8318,0.8318
18,7,0.83871,0.80657,0.77124,0.7856,0.83871,0.83871,0.83871
18,8,0.81336,0.77336,0.73715,0.75115,0.81336,0.81336,0.81336
18,9,0.84332,0.805,0.77079,0.78502,0.84332,0.84332,0.84332
19,0,0.81609,0.77276,0.71495,0.73464,0.81609,0.81609,0.81609
19,1,0.81839,0.72947,0.72401,0.72666,0.81839,0.81839,0.81839
19,2,0.86437,0.81773,0.78216,0.79747,0.86437,0.86437,0.86437
19,3,0.8023,0.76092,0.68736,0.70823,0.8023,0.8023,0.8023
19,4,0.84562,0.81295,0.77265,0.78888,0.84562,0.84562,0.84562
19,5,0.8318,0.74629,0.73615,0.74096,0.8318,0.8318,0.8318
19,6,0.8341,0.78727,0.72299,0.74558,0.8341,0.8341,0.8341
19,7,0.84562,0.82065,0.77339,0.79158,0.84562,0.84562,0.84562
19,8,0.81336,0.77566,0.73201,0.74803,0.81336,0.81336,0.81336
19,9,0.83871,0.79826,0.76481,0.7787,0.83871,0.83871,0.83871
20,0,0.81609,0.77437,0.71207,0.73267,0.81609,0.81609,0.81609
20,1,0.81839,0.72947,0.72401,0.72666,0.81839,0.81839,0.81839
20,2,0.87356,0.83046,0.79866,0.81268,0.87356,0.87356,0.87356
20,3,0.8069,0.76722,0.69606,0.71718,0.8069,0.8069,0.8069
20,4,0.84101,0.80213,0.77507,0.7867,0.84101,0.84101,0.84101
20,5,0.83641,0.75416,0.73503,0.74372,0.83641,0.83641,0.83641
20,6,0.8318,0.7823,0.72147,0.74311,0.8318,0.8318,0.8318
20,7,0.84562,0.81885,0.776,0.79288,0.84562,0.84562,0.84562
20,8,0.81336,0.77697,0.72943,0.74641,0.81336,0.81336,0.81336
20,9,0.84101,0.80232,0.76637,0.78114,0.84101,0.84101,0.84101
21,0,0.81839,0.77738,0.7165,0.73699,0.81839,0.81839,0.81839
21,1,0.82069,0.73269,0.71765,0.72454,0.82069,0.82069,0.82069
21,2,0.86667,0.82052,0.78716,0.80169,0.86667,0.86667,0.86667
21,3,0.8069,0.76722,0.69606,0.71718,0.8069,0.8069,0.8069
21,4,0.83871,0.79946,0.77072,0.78293,0.83871,0.83871,0.83871
21,5,0.83641,0.75381,0.73907,0.74592,0.83641,0.83641,0.83641
21,6,0.83871,0.79761,0.72602,0.75056,0.83871,0.83871,0.83871
