round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.81267,0.77345,0.67749,0.70205,0.81267,0.81267,0.81267,0.4236
2,0.82207,0.77722,0.70943,0.73168,0.82207,0.82207,0.82207,0.39556
3,0.82667,0.78127,0.72237,0.74314,0.82667,0.82667,0.82667,0.38531
4,0.83054,0.78674,0.72939,0.75003,0.83054,0.83054,0.83054,0.37944
5,0.83349,0.79123,0.73407,0.75483,0.83349,0.83349,0.83349,0.37527
6,0.83514,0.79276,0.73838,0.75853,0.83514,0.83514,0.83514,0.37216
7,0.83643,0.79705,0.73652,0.75828,0.83643,0.83643,0.83643,0.36968
8,0.83588,0.7962,0.73566,0.75739,0.83588,0.83588,0.83588,0.36767
9,0.83735,0.79654,0.74109,0.76163,0.83735,0.83735,0.83735,0.36594
10,0.83772,0.79897,0.73862,0.76041,0.83772,0.83772,0.83772,0.36455
11,0.83772,0.79789,0.74034,0.76144,0.83772,0.83772,0.83772,0.36326
12,0.83846,0.79973,0.74034,0.76194,0.83846,0.83846,0.83846,0.36216
13,0.83938,0.8015,0.7412,0.76308,0.83938,0.83938,0.83938,0.36125
14,0.83975,0.80164,0.74243,0.76406,0.83975,0.83975,0.83975,0.36039
15,0.83957,0.80157,0.74182,0.76357,0.83957,0.83957,0.83957,0.35964
16,0.83901,0.8001,0.74194,0.76326,0.83901,0.83901,0.83901,0.35897
17,0.83938,0.80183,0.74071,0.76278,0.83938,0.83938,0.83938,0.35832
18,0.83883,0.80034,0.74083,0.76248,0.83883,0.83883,0.83883,0.35777
19,0.84012,0.80115,0.74465,0.7656,0.84012,0.84012,0.84012,0.35734
20,0.83809,0.79927,0.7396,0.76125,0.83809,0.83809,0.83809,0.35688
21,0.83938,0.80025,0.74318,0.76424,0.83938,0.83938,0.83938,0.35649
22,0.83957,0.80063,0.7433,0.76443,0.83957,0.83957,0.83957,0.3562
23,0.8392,0.8008,0.74157,0.76317,0.8392,0.8392,0.8392,0.35584
24,0.83938,0.80118,0.7417,0.76337,0.83938,0.83938,0.83938,0.35553
25,0.83993,0.80202,0.74256,0.76425,0.83993,0.83993,0.83993,0.35524
26,0.83975,0.80278,0.74071,0.76303,0.83975,0.83975,0.83975,0.35508
27,0.83957,0.80222,0.74083,0.76298,0.83957,0.83957,0.83957,0.35482
28,0.84012,0.80162,0.74391,0.76517,0.84012,0.84012,0.84012,0.3546
29,0.84012,0.80373,0.7407,0.76329,0.84012,0.84012,0.84012,0.35447
30,0.83993,0.80155,0.7433,0.76469,0.83993,0.83993,0.83993,0.35424
31,0.83975,0.80278,0.74071,0.76303,0.83975,0.83975,0.83975,0.35415
32,0.83975,0.80101,0.74342,0.76463,0.83975,0.83975,0.83975,0.35396
33,0.83993,0.80139,0.74354,0.76483,0.83993,0.83993,0.83993,0.35381
34,0.84012,0.80146,0.74416,0.76532,0.84012,0.84012,0.84012,0.35368
35,0.84049,0.80238,0.74416,0.76557,0.84049,0.84049,0.84049,0.35363
36,0.84104,0.80244,0.74626,0.76717,0.84104,0.84104,0.84104,0.35357
37,0.84012,0.80193,0.74342,0.76489,0.84012,0.84012,0.84012,0.35345
38,0.83975,0.80085,0.74367,0.76478,0.83975,0.83975,0.83975,0.35337
39,0.8392,0.8008,0.74157,0.76317,0.8392,0.8392,0.8392,0.35329
40,0.83957,0.80094,0.74281,0.76415,0.83957,0.83957,0.83957,0.35323
41,0.83975,0.8004,0.74441,0.76521,0.83975,0.83975,0.83975,0.3532
42,0.83993,0.8017,0.74305,0.76454,0.83993,0.83993,0.83993,0.3531
43,0.83938,0.80118,0.7417,0.76337,0.83938,0.83938,0.83938,0.35307
44,0.84104,0.80228,0.7465,0.76731,0.84104,0.84104,0.84104,0.35302
45,0.8403,0.80264,0.74305,0.7648,0.8403,0.8403,0.8403,0.35299
46,0.83975,0.80055,0.74416,0.76506,0.83975,0.83975,0.83975,0.35294
47,0.84049,0.80176,0.74515,0.76614,0.84049,0.84049,0.84049,0.35288
48,0.84012,0.80085,0.74515,0.76589,0.84012,0.84012,0.84012,0.35287
49,0.83938,0.80087,0.74219,0.76366,0.83938,0.83938,0.83938,0.35283
50,0.83975,0.80024,0.74466,0.76535,0.83975,0.83975,0.83975,0.3528
