round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.73563,0.58721,0.51413,0.46986,0.73563,0.73563,0.73563
1,1,0.8046,0.72531,0.58607,0.59758,0.8046,0.8046,0.8046
1,2,0.77931,0.67523,0.59716,0.60919,0.77931,0.77931,0.77931
1,3,0.74943,0.73244,0.53723,0.50397,0.74943,0.74943,0.74943
1,4,0.75806,0.70387,0.57962,0.5791,0.75806,0.75806,0.75806
1,5,0.79724,0.68238,0.573,0.58036,0.79724,0.79724,0.79724
1,6,0.76267,0.6499,0.53444,0.51217,0.76267,0.76267,0.76267
1,7,0.73272,0.6487,0.54659,0.52755,0.73272,0.73272,0.73272
1,8,0.71659,0.59204,0.52869,0.50171,0.71659,0.71659,0.71659
1,9,0.74424,0.65398,0.53179,0.50103,0.74424,0.74424,0.74424
2,0,0.77931,0.74297,0.61256,0.62508,0.77931,0.77931,0.77931
2,1,0.83448,0.76655,0.69119,0.71595,0.83448,0.83448,0.83448
2,2,0.85057,0.80633,0.74164,0.76551,0.85057,0.85057,0.85057
2,3,0.77471,0.76018,0.59898,0.60528,0.77471,0.77471,0.77471
2,4,0.82258,0.79643,0.71527,0.7396,0.82258,0.82258,0.82258
2,5,0.82719,0.74581,0.67672,0.69935,0.82719,0.82719,0.82719
2,6,0.79493,0.74869,0.61163,0.62743,0.79493,0.79493,0.79493
2,7,0.81336,0.81475,0.68842,0.71496,0.81336,0.81336,0.81336
2,8,0.79032,0.77507,0.65687,0.67709,0.79032,0.79032,0.79032
2,9,0.80645,0.7777,0.67419,0.6981,0.80645,0.80645,0.80645
3,0,0.8,0.77839,0.65238,0.67466,0.8,0.8,0.8
3,1,0.83678,0.76419,0.71222,0.732,0.83678,0.83678,0.83678
3,2,0.85747,0.811,0.76366,0.78285,0.85747,0.85747,0.85747
3,3,0.78621,0.76122,0.63186,0.64895,0.78621,0.78621,0.78621
3,4,0.82258,0.78432,0.73195,0.75074,0.82258,0.82258,0.82258
3,5,0.81567,0.72049,0.66943,0.68741,0.81567,0.81567,0.81567
3,6,0.80645,0.76016,0.64554,0.66845,0.80645,0.80645,0.80645
3,7,0.81797,0.80495,0.70728,0.73283,0.81797,0.81797,0.81797
3,8,0.80184,0.78368,0.68286,0.70577,0.80184,0.80184,0.80184
3,9,0.82488,0.79901,0.71246,0.73792,0.82488,0.82488,0.82488
4,0,0.78851,0.74422,0.64462,0.6637,0.78851,0.78851,0.78851
4,1,0.83678,0.762,0.72005,0.73693,0.83678,0.83678,0.83678
4,2,0.85977,0.81207,0.77216,0.78894,0.85977,0.85977,0.85977
4,3,0.77701,0.72546,0.63397,0.65007,0.77701,0.77701,0.77701
4,4,0.82258,0.78143,0.73751,0.75413,0.82258,0.82258,0.82258
4,5,0.81336,0.71573,0.67201,0.68816,0.81336,0.81336,0.81336
4,6,0.82028,0.77962,0.67768,0.70402,0.82028,0.82028,0.82028
4,7,0.81106,0.79075,0.69991,0.72374,0.81106,0.81106,0.81106
4,8,0.79724,0.76127,0.69254,0.71211,0.79724,0.79724,0.79724
4,9,0.8318,0.80476,0.7286,0.75312,0.8318,0.8318,0.8318
5,0,0.7954,0.75076,0.66363,0.68437,0.7954,0.7954,0.7954
5,1,0.83908,0.76556,0.72543,0.74181,0.83908,0.83908,0.83908
5,2,0.86437,0.81773,0.78216,0.79747,0.86437,0.86437,0.86437
5,3,0.78161,0.73145,0.64545,0.6631,0.78161,0.78161,0.78161
5,4,0.82488,0.78299,0.74464,0.75973,0.82488,0.82488,0.82488
5,5,0.82028,0.72828,0.6885,0.70402,0.82028,0.82028,0.82028
5,6,0.82719,0.78691,0.6954,0.72195,0.82719,0.82719,0.82719
5,7,0.81106,0.78807,0.70252,0.72581,0.81106,0.81106,0.81106
5,8,0.80184,0.76559,0.70345,0.72256,0.80184,0.80184,0.80184
5,9,0.8318,0.80236,0.73147,0.75499,0.8318,0.8318,0.8318
6,0,0.7931,0.74343,0.66495,0.68478,0.7931,0.7931,0.7931
6,1,0.83448,0.7575,0.71859,0.73443,0.83448,0.83448,0.83448
6,2,0.85977,0.80891,0.77918,0.79224,0.85977,0.85977,0.85977
6,3,0.7908,0.74606,0.66284,0.68258,0.7908,0.7908,0.7908
6,4,0.82949,0.78983,0.75055,0.76605,0.82949,0.82949,0.82949
6,5,0.81567,0.7198,0.68558,0.69928,0.81567,0.81567,0.81567
6,6,0.82719,0.78691,0.6954,0.72195,0.82719,0.82719,0.82719
6,7,0.81797,0.79638,0.71513,0.73874,0.81797,0.81797,0.81797
6,8,0.79724,0.75667,0.70027,0.71805,0.79724,0.79724,0.79724
6,9,0.82949,0.7953,0.73278,0.75438,0.82949,0.82949,0.82949
7,0,0.7977,0.74874,0.67668,0.69673,0.7977,0.7977,0.7977
7,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
7,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
7,3,0.7908,0.74606,0.66284,0.68258,0.7908,0.7908,0.7908
7,4,0.8318,0.79395,0.75212,0.76845,0.8318,0.8318,0.8318
7,5,0.81336,0.71573,0.68412,0.69694,0.81336,0.81336,0.81336
7,6,0.8341,0.79648,0.70982,0.73666,0.8341,0.8341,0.8341
7,7,0.82258,0.79708,0.72876,0.75074,0.82258,0.82258,0.82258
7,8,0.80645,0.77143,0.71178,0.73086,0.80645,0.80645,0.80645
7,9,0.82719,0.78881,0.73409,0.75376,0.82719,0.82719,0.82719
8,0,0.8069,0.76194,0.69437,0.71501,0.8069,0.8069,0.8069
8,1,0.82989,0.74833,0.71958,0.73188,0.82989,0.82989,0.82989
8,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
8,3,0.7908,0.74606,0.66284,0.68258,0.7908,0.7908,0.7908
8,4,0.8341,0.79531,0.75925,0.77386,0.8341,0.8341,0.8341
8,5,0.81336,0.71573,0.68412,0.69694,0.81336,0.81336,0.81336
8,6,0.83871,0.8026,0.71943,0.74622,0.83871,0.83871,0.83871
8,7,0.82949,0.80719,0.73875,0.76128,0.82949,0.82949,0.82949
8,8,0.80645,0.77143,0.71178,0.73086,0.80645,0.80645,0.80645
8,9,0.8318,0.79619,0.74007,0.76032,0.8318,0.8318,0.8318
9,0,0.8069,0.76368,0.6915,0.71279,0.8069,0.8069,0.8069
9,1,0.83218,0.75248,0.72104,0.73433,0.83218,0.83218,0.83218
9,2,0.85977,0.80753,0.78269,0.79384,0.85977,0.85977,0.85977
9,3,0.78621,0.73551,0.65971,0.67822,0.78621,0.78621,0.78621
9,4,0.83871,0.80205,0.76516,0.78014,0.83871,0.83871,0.83871
9,5,0.82028,0.72778,0.70061,0.71214,0.82028,0.82028,0.82028
9,6,0.84101,0.81144,0.71766,0.7465,0.84101,0.84101,0.84101
9,7,0.82719,0.80238,0.73716,0.75888,0.82719,0.82719,0.82719
9,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
9,9,0.8318,0.79444,0.74294,0.76202,0.8318,0.8318,0.8318
10,0,0.8046,0.75872,0.68995,0.7105,0.8046,0.8046,0.8046
10,1,0.83448,0.75549,0.73033,0.74138,0.83448,0.83448,0.83448
10,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
10,3,0.7908,0.74256,0.66841,0.68763,0.7908,0.7908,0.7908
10,4,0.83871,0.80205,0.76516,0.78014,0.83871,0.83871,0.83871
10,5,0.81797,0.72385,0.69915,0.70976,0.81797,0.81797,0.81797
10,6,0.83641,0.8024,0.71133,0.73915,0.83641,0.83641,0.83641
10,7,0.82949,0.80294,0.74398,0.7645,0.82949,0.82949,0.82949
10,8,0.80415,0.76698,0.71019,0.72858,0.80415,0.80415,0.80415
10,9,0.8341,0.80084,0.74163,0.76276,0.8341,0.8341,0.8341
11,0,0.8069,0.76194,0.69437,0.71501,0.8069,0.8069,0.8069
11,1,0.83218,0.75248,0.72104,0.73433,0.83218,0.83218,0.83218
11,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
11,3,0.7908,0.74256,0.66841,0.68763,0.7908,0.7908,0.7908
11,4,0.83871,0.80205,0.76516,0.78014,0.83871,0.83871,0.83871
11,5,0.82028,0.7278,0.70868,0.71722,0.82028,0.82028,0.82028
11,6,0.84332,0.81435,0.72247,0.75129,0.84332,0.84332,0.84332
11,7,0.82719,0.80238,0.73716,0.75888,0.82719,0.82719,0.82719
11,8,0.80415,0.76556,0.71277,0.73039,0.80415,0.80415,0.80415
11,9,0.8318,0.79444,0.74294,0.76202,0.8318,0.8318,0.8318
12,0,0.8069,0.76194,0.69437,0.71501,0.8069,0.8069,0.8069
12,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
12,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
12,3,0.7977,0.75269,0.68145,0.70144,0.7977,0.7977,0.7977
12,4,0.83641,0.79937,0.76082,0.77627,0.83641,0.83641,0.83641
12,5,0.82028,0.7278,0.70868,0.71722,0.82028,0.82028,0.82028
