round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75318,0.64658,0.529,0.49899,0.75318,0.75318,0.75318
1,1,0.76902,0.69796,0.57831,0.58058,0.76902,0.76902,0.76902
1,2,0.77289,0.70513,0.59002,0.59711,0.77289,0.77289,0.77289
1,3,0.75447,0.65453,0.53183,0.50398,0.75447,0.75447,0.75447
1,4,0.76754,0.69688,0.57165,0.57055,0.76754,0.76754,0.76754
1,5,0.76404,0.68656,0.56364,0.55857,0.76404,0.76404,0.76404
1,6,0.7541,0.6507,0.5343,0.50944,0.7541,0.7541,0.7541
1,7,0.76165,0.67975,0.55686,0.5479,0.76165,0.76165,0.76165
1,8,0.76073,0.67687,0.55427,0.54373,0.76073,0.76073,0.76073
1,9,0.75318,0.64588,0.53097,0.50321,0.75318,0.75318,0.75318
2,0,0.80217,0.77087,0.64335,0.6654,0.80217,0.80217,0.80217
2,1,0.80844,0.76368,0.67319,0.69651,0.80844,0.80844,0.80844
2,2,0.81009,0.76203,0.68244,0.70504,0.81009,0.81009,0.81009
2,3,0.8007,0.77416,0.63619,0.65714,0.8007,0.8007,0.8007
2,4,0.80862,0.76453,0.67282,0.69626,0.80862,0.80862,0.80862
2,5,0.8112,0.77191,0.6738,0.6982,0.8112,0.8112,0.8112
2,6,0.80181,0.77355,0.64014,0.66181,0.80181,0.80181,0.80181
2,7,0.80678,0.7617,0.66913,0.69224,0.80678,0.80678,0.80678
2,8,0.80733,0.7712,0.66061,0.68455,0.80733,0.80733,0.80733
2,9,0.8053,0.77011,0.65457,0.67795,0.8053,0.8053,0.8053
3,0,0.8123,0.77727,0.67206,0.69712,0.8123,0.8123,0.8123
3,1,0.81709,0.77267,0.69575,0.71897,0.81709,0.81709,0.81709
3,2,0.81857,0.77239,0.7024,0.72471,0.81857,0.81857,0.81857
3,3,0.81028,0.77731,0.66504,0.68985,0.81028,0.81028,0.81028
3,4,0.8182,0.77295,0.69994,0.7227,0.8182,0.8182,0.8182
3,5,0.81636,0.77369,0.6913,0.71516,0.81636,0.81636,0.81636
3,6,0.81249,0.77383,0.67638,0.70101,0.81249,0.81249,0.81249
3,7,0.81783,0.77122,0.70117,0.72341,0.81783,0.81783,0.81783
3,8,0.81636,0.77838,0.68538,0.71039,0.81636,0.81636,0.81636
3,9,0.81544,0.77601,0.68477,0.70944,0.81544,0.81544,0.81544
4,0,0.81617,0.77854,0.68452,0.70958,0.81617,0.81617,0.81617
4,1,0.82078,0.7736,0.71005,0.73137,0.82078,0.82078,0.82078
4,2,0.82078,0.77401,0.70931,0.73086,0.82078,0.82078,0.82078
4,3,0.81451,0.77792,0.67922,0.70435,0.81451,0.81451,0.81451
4,4,0.82022,0.77153,0.71141,0.73199,0.82022,0.82022,0.82022
4,5,0.81838,0.77499,0.69759,0.72104,0.81838,0.81838,0.81838
4,6,0.81801,0.77948,0.69019,0.7151,0.81801,0.81801,0.81801
4,7,0.81986,0.77261,0.70771,0.72922,0.81986,0.81986,0.81986
4,8,0.82022,0.77689,0.70227,0.72552,0.82022,0.82022,0.82022
