round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.54212,0.3512,0.17309,0.20465,0.54212,0.54212,0.54212
2,1,0.07099,0.13752,0.14286,0.14014,0.07099,0.07099,0.07099
2,2,0.17367,0.3643,0.21548,0.1373,0.17367,0.17367,0.17367
2,3,0.05596,0.01916,0.12195,0.03311,0.05596,0.05596,0.05596
2,4,0.0411,0.09534,0.11719,0.10514,0.0411,0.0411,0.0411
2,5,0.07709,0.14473,0.09117,0.04556,0.07709,0.07709,0.07709
2,6,0.65728,0.42827,0.34708,0.3582,0.65728,0.65728,0.65728
2,7,0.89501,0.25,0.22375,0.23615,0.89501,0.89501,0.89501
2,8,0.32736,0.28269,0.13028,0.13822,0.32736,0.32736,0.32736
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.83541,0.26921,0.24419,0.25548,0.83541,0.83541,0.83541
3,1,0.153,0.28299,0.15547,0.16466,0.153,0.153,0.153
3,2,0.70796,0.37359,0.41636,0.3662,0.70796,0.70796,0.70796
3,3,0.06155,0.02756,0.27526,0.04581,0.06155,0.06155,0.06155
3,4,0.19543,0.27679,0.15699,0.17364,0.19543,0.19543,0.19543
3,5,0.56828,0.26258,0.25824,0.19084,0.56828,0.56828,0.56828
3,6,0.69596,0.46773,0.37715,0.4018,0.69596,0.69596,0.69596
3,7,0.94488,0.33333,0.31496,0.32389,0.94488,0.94488,0.94488
3,8,0.37217,0.24649,0.12452,0.13456,0.37217,0.37217,0.37217
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.85647,0.21618,0.18987,0.20217,0.85647,0.85647,0.85647
4,1,0.69056,0.22011,0.18521,0.19895,0.69056,0.69056,0.69056
4,2,0.84292,0.26862,0.29864,0.2708,0.84292,0.84292,0.84292
4,3,0.06315,0.02818,0.2439,0.04568,0.06315,0.06315,0.06315
4,4,0.44932,0.21749,0.1516,0.17175,0.44932,0.44932,0.44932
4,5,0.64758,0.238,0.25063,0.19963,0.64758,0.64758,0.64758
4,6,0.76997,0.31598,0.27118,0.28633,0.76997,0.76997,0.76997
4,7,0.95013,0.25,0.23753,0.24361,0.95013,0.95013,0.95013
4,8,0.5224,0.21933,0.13741,0.15667,0.5224,0.5224,0.5224
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.87129,0.21568,0.19519,0.20483,0.87129,0.87129,0.87129
5,1,0.78015,0.22115,0.19593,0.20677,0.78015,0.78015,0.78015
5,2,0.88164,0.28493,0.41782,0.29366,0.88164,0.88164,0.88164
5,3,0.06395,0.02969,0.21816,0.04659,0.06395,0.06395,0.06395
