round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.2851,0.1118,0.28857,0.151,0.2851,0.2851,0.2851
2,0.2762,0.12053,0.27989,0.15654,0.2762,0.2762,0.2762
3,0.3002,0.23388,0.30803,0.20753,0.3002,0.3002,0.3002
4,0.2911,0.22863,0.29461,0.16539,0.2911,0.2911,0.2911
5,0.221,0.14308,0.22283,0.11008,0.221,0.221,0.221
6,0.2815,0.23152,0.28518,0.16323,0.2815,0.2815,0.2815
7,0.2665,0.20095,0.26933,0.17259,0.2665,0.2665,0.2665
8,0.2858,0.20137,0.2917,0.19605,0.2858,0.2858,0.2858
9,0.3189,0.30934,0.32001,0.21483,0.3189,0.3189,0.3189
10,0.3433,0.2031,0.3451,0.22332,0.3433,0.3433,0.3433
11,0.341,0.27172,0.34277,0.22308,0.341,0.341,0.341
12,0.3101,0.21447,0.31856,0.19465,0.3101,0.3101,0.3101
13,0.3163,0.32069,0.319,0.2093,0.3163,0.3163,0.3163
14,0.2419,0.36629,0.24609,0.14042,0.2419,0.2419,0.2419
15,0.2754,0.43295,0.27764,0.2142,0.2754,0.2754,0.2754
16,0.2973,0.52697,0.30006,0.22341,0.2973,0.2973,0.2973
17,0.3343,0.40779,0.33791,0.25307,0.3343,0.3343,0.3343
18,0.452,0.54412,0.44923,0.36717,0.452,0.452,0.452
19,0.3668,0.49947,0.35885,0.31616,0.3668,0.3668,0.3668
20,0.3955,0.50257,0.38794,0.35312,0.3955,0.3955,0.3955
21,0.486,0.49784,0.48045,0.4388,0.486,0.486,0.486
22,0.317,0.48426,0.31857,0.25271,0.317,0.317,0.317
23,0.4133,0.41675,0.41519,0.32853,0.4133,0.4133,0.4133
24,0.4635,0.49134,0.46157,0.37977,0.4635,0.4635,0.4635
25,0.4768,0.48062,0.47742,0.40384,0.4768,0.4768,0.4768
26,0.4975,0.65877,0.49801,0.44144,0.4975,0.4975,0.4975
27,0.5874,0.66426,0.57892,0.52851,0.5874,0.5874,0.5874
28,0.6309,0.60892,0.63388,0.56159,0.6309,0.6309,0.6309
29,0.6028,0.61393,0.60668,0.53159,0.6028,0.6028,0.6028
30,0.6711,0.78661,0.67275,0.65398,0.6711,0.6711,0.6711
31,0.5899,0.74004,0.58866,0.59356,0.5899,0.5899,0.5899
32,0.6307,0.77799,0.63471,0.57314,0.6307,0.6307,0.6307
33,0.5805,0.84915,0.58336,0.56839,0.5805,0.5805,0.5805
34,0.4319,0.63582,0.44068,0.37313,0.4319,0.4319,0.4319
35,0.5694,0.69994,0.56707,0.51329,0.5694,0.5694,0.5694
36,0.5575,0.67323,0.56078,0.48965,0.5575,0.5575,0.5575
37,0.5235,0.81368,0.53023,0.50656,0.5235,0.5235,0.5235
38,0.5256,0.72787,0.52301,0.49694,0.5256,0.5256,0.5256
39,0.7365,0.79925,0.73486,0.71682,0.7365,0.7365,0.7365
40,0.5209,0.78992,0.51626,0.52803,0.5209,0.5209,0.5209
41,0.5041,0.76345,0.50108,0.44909,0.5041,0.5041,0.5041
42,0.7062,0.78356,0.70775,0.67409,0.7062,0.7062,0.7062
43,0.7519,0.8098,0.75183,0.73729,0.7519,0.7519,0.7519
44,0.6108,0.75382,0.61054,0.60628,0.6108,0.6108,0.6108
45,0.5715,0.80766,0.57096,0.57768,0.5715,0.5715,0.5715
46,0.7356,0.76664,0.73989,0.70705,0.7356,0.7356,0.7356
47,0.5387,0.76054,0.53916,0.54759,0.5387,0.5387,0.5387
48,0.7003,0.82655,0.70123,0.6767,0.7003,0.7003,0.7003
49,0.6675,0.80325,0.66692,0.64262,0.6675,0.6675,0.6675
50,0.6084,0.7983,0.60648,0.59459,0.6084,0.6084,0.6084
