round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,1,0.99793,0.98585,0.99889,0.99227,0.99793,0.99793,0.99793
1,2,0.9823,0.72281,0.72669,0.72473,0.9823,0.9823,0.9823
1,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
1,4,0.99726,0.97911,0.98863,0.98382,0.99726,0.99726,0.99726
1,5,0.97357,0.65021,0.65101,0.65046,0.97357,0.97357,0.97357
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,0.98396,0.72706,0.73449,0.73073,0.98396,0.98396,0.98396
2,3,0.99201,0.64516,0.64898,0.64706,0.99201,0.99201,0.99201
2,4,0.99726,0.97911,0.98863,0.98382,0.99726,0.99726,0.99726
2,5,0.98238,0.98872,0.82253,0.87781,0.98238,0.98238,0.98238
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99526,0.99636,0.99329,0.9948,0.99526,0.99526,0.99526
3,1,0.99793,0.98585,0.99889,0.99227,0.99793,0.99793,0.99793
3,4,0.99817,0.98911,0.98911,0.98911,0.99817,0.99817,0.99817
3,5,0.98678,0.99169,0.82551,0.88078,0.98678,0.98678,0.98678
3,6,0.98234,0.96863,0.9649,0.96669,0.98234,0.98234,0.98234
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99736,0.99797,0.99627,0.99711,0.99736,0.99736,0.99736
4,0,0.98518,0.98164,0.98241,0.98203,0.98518,0.98518,0.98518
4,2,0.97788,0.71649,0.71465,0.71545,0.97788,0.97788,0.97788
4,5,0.98678,0.99169,0.82551,0.88078,0.98678,0.98678,0.98678
4,6,0.98865,0.97994,0.97399,0.97691,0.98865,0.98865,0.98865
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.98908,0.98751,0.98595,0.98672,0.98908,0.98908,0.98908
5,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,0.98458,0.82468,0.82441,0.82455,0.98458,0.98458,0.98458
5,6,0.99033,0.9814,0.9784,0.97989,0.99033,0.99033,0.99033
5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.9883,0.98397,0.98779,0.98585,0.9883,0.9883,0.9883
6,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
6,2,0.98617,0.72504,0.7326,0.72877,0.98617,0.98617,0.98617
6,5,0.98899,0.99301,0.82712,0.88227,0.98899,0.98899,0.98899
6,6,0.98991,0.98115,0.97977,0.98045,0.98991,0.98991,0.98991
6,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,0.98752,0.65695,0.6571,0.65702,0.98752,0.98752,0.98752
7,1,0.99931,0.66667,0.66642,0.66654,0.99931,0.99931,0.99931
7,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,5,0.98899,0.99301,0.82712,0.88227,0.98899,0.98899,0.98899
7,6,0.99201,0.98433,0.98117,0.98273,0.99201,0.99201,0.99201
