round,comm_costs
1,2849760
2,2849760
3,2849760
4,2849760
5,2849760
6,2849760
7,2849760
8,2849760
9,2849760
10,2849760
11,2849760
12,2849760
13,2849760
14,2849760
15,2849760
16,2849760
17,2849760
18,2849760
19,2849760
20,2849760
21,2849760
22,2849760
23,2849760
24,2849760
25,2849760
26,2849760
27,2849760
28,2849760
29,2849760
30,2849760
31,2849760
32,2849760
33,2849760
34,2849760
35,2849760
36,2849760
37,2849760
38,2849760
39,2849760
40,2849760
41,2849760
42,2849760
43,2849760
44,2849760
45,2849760
46,2849760
47,2849760
48,2849760
49,2849760
50,4630860
