round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.182,0.03738,0.19514,0.06258,0.182,0.182,0.182
1,1,0.2113,0.04252,0.1998,0.06997,0.2113,0.2113,0.2113
1,2,0.2882,0.11143,0.29179,0.1522,0.2882,0.2882,0.2882
1,3,0.19,0.04167,0.19583,0.06781,0.19,0.19,0.19
1,4,0.196,0.04521,0.1973,0.07214,0.196,0.196,0.196
1,5,0.1956,0.0529,0.19546,0.07935,0.1956,0.1956,0.1956
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,9,0.1092,0.23103,0.11801,0.04194,0.1092,0.1092,0.1092
2,0,0.1832,0.03751,0.19635,0.06283,0.1832,0.1832,0.1832
2,2,0.2889,0.10957,0.29253,0.15135,0.2889,0.2889,0.2889
2,3,0.1904,0.04211,0.19625,0.06834,0.1904,0.1904,0.1904
2,4,0.1972,0.04217,0.19855,0.06898,0.1972,0.1972,0.1972
2,5,0.2642,0.11987,0.26698,0.14775,0.2642,0.2642,0.2642
2,6,0.2827,0.12191,0.29151,0.16005,0.2827,0.2827,0.2827
2,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
2,8,0.1957,0.04624,0.19887,0.07335,0.1957,0.1957,0.1957
3,0,0.1831,0.03748,0.19621,0.06279,0.1831,0.1831,0.1831
3,1,0.2113,0.04228,0.1998,0.06979,0.2113,0.2113,0.2113
3,4,0.2105,0.1449,0.21212,0.0968,0.2105,0.2105,0.2105
3,5,0.2945,0.22676,0.29828,0.18998,0.2945,0.2945,0.2945
3,6,0.2849,0.12281,0.29396,0.16094,0.2849,0.2849,0.2849
3,7,0.1745,0.30594,0.17933,0.13812,0.1745,0.1745,0.1745
3,8,0.1957,0.0492,0.19886,0.0764,0.1957,0.1957,0.1957
3,9,0.4059,0.46088,0.42132,0.34989,0.4059,0.4059,0.4059
4,0,0.1882,0.1351,0.20163,0.07185,0.1882,0.1882,0.1882
4,1,0.2302,0.3427,0.2196,0.10519,0.2302,0.2302,0.2302
