round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.419,0.57249,0.43341,0.33292,0.419,0.419,0.419
2,0.56,0.72441,0.56981,0.49971,0.56,0.56,0.56
3,0.7118,0.78756,0.71492,0.67732,0.7118,0.7118,0.7118
4,0.7912,0.81761,0.79177,0.77611,0.7912,0.7912,0.7912
5,0.8367,0.8432,0.83685,0.83299,0.8367,0.8367,0.8367
6,0.8609,0.8621,0.86115,0.85919,0.8609,0.8609,0.8609
7,0.8753,0.87519,0.87567,0.87412,0.8753,0.8753,0.8753
8,0.8825,0.88207,0.88293,0.88143,0.8825,0.8825,0.8825
9,0.8878,0.88708,0.88812,0.88672,0.8878,0.8878,0.8878
10,0.8916,0.8913,0.89188,0.89063,0.8916,0.8916,0.8916
11,0.8939,0.89353,0.89418,0.89289,0.8939,0.8939,0.8939
12,0.8981,0.89816,0.89828,0.8971,0.8981,0.8981,0.8981
13,0.9008,0.90051,0.90101,0.89986,0.9008,0.9008,0.9008
14,0.9029,0.90293,0.90295,0.90191,0.9029,0.9029,0.9029
15,0.9037,0.90405,0.90385,0.90278,0.9037,0.9037,0.9037
16,0.9046,0.90519,0.9047,0.9036,0.9046,0.9046,0.9046
17,0.9069,0.9074,0.90705,0.90606,0.9069,0.9069,0.9069
18,0.9084,0.90888,0.90846,0.90747,0.9084,0.9084,0.9084
19,0.9105,0.91132,0.91053,0.90959,0.9105,0.9105,0.9105
20,0.9109,0.91111,0.91097,0.90997,0.9109,0.9109,0.9109
21,0.9127,0.91327,0.91254,0.9118,0.9127,0.9127,0.9127
22,0.9147,0.91489,0.91474,0.9138,0.9147,0.9147,0.9147
23,0.915,0.91563,0.91497,0.91411,0.915,0.915,0.915
24,0.9163,0.91679,0.91628,0.91538,0.9163,0.9163,0.9163
25,0.9158,0.91649,0.91578,0.91492,0.9158,0.9158,0.9158
26,0.9188,0.91908,0.91872,0.91793,0.9188,0.9188,0.9188
27,0.9192,0.91991,0.91911,0.91844,0.9192,0.9192,0.9192
28,0.9204,0.92112,0.92029,0.91962,0.9204,0.9204,0.9204
29,0.922,0.92218,0.9219,0.9212,0.922,0.922,0.922
30,0.9226,0.92305,0.92252,0.92182,0.9226,0.9226,0.9226
31,0.922,0.92274,0.9219,0.92122,0.922,0.922,0.922
32,0.9251,0.92574,0.92505,0.9244,0.9251,0.9251,0.9251
33,0.9238,0.92486,0.92371,0.92308,0.9238,0.9238,0.9238
34,0.9258,0.92642,0.92568,0.92514,0.9258,0.9258,0.9258
35,0.9264,0.92722,0.92628,0.92578,0.9264,0.9264,0.9264
36,0.9256,0.92609,0.9256,0.92492,0.9256,0.9256,0.9256
37,0.9271,0.92779,0.92704,0.92648,0.9271,0.9271,0.9271
38,0.9282,0.92863,0.92819,0.92754,0.9282,0.9282,0.9282
39,0.928,0.92854,0.92794,0.92737,0.928,0.928,0.928
40,0.9294,0.93012,0.92933,0.92885,0.9294,0.9294,0.9294
41,0.9299,0.93057,0.92985,0.92927,0.9299,0.9299,0.9299
42,0.9298,0.93045,0.92979,0.92921,0.9298,0.9298,0.9298
43,0.9299,0.93085,0.92973,0.92931,0.9299,0.9299,0.9299
44,0.9321,0.9325,0.93208,0.93155,0.9321,0.9321,0.9321
45,0.931,0.93188,0.93103,0.93048,0.931,0.931,0.931
46,0.9323,0.93297,0.93227,0.93175,0.9323,0.9323,0.9323
47,0.9332,0.93355,0.93319,0.93267,0.9332,0.9332,0.9332
48,0.9326,0.93313,0.93268,0.93208,0.9326,0.9326,0.9326
49,0.9335,0.93405,0.93346,0.93297,0.9335,0.9335,0.9335
50,0.9346,0.93515,0.93466,0.9341,0.9346,0.9346,0.9346
