round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1831,0.03662,0.19635,0.06173,0.1831,0.1831,0.1831
1,1,0.2112,0.04255,0.19969,0.06998,0.2112,0.2112,0.2112
1,2,0.2912,0.21119,0.29472,0.15893,0.2912,0.2912,0.2912
1,3,0.1904,0.05305,0.19624,0.06956,0.1904,0.1904,0.1904
1,4,0.1975,0.04244,0.19887,0.06932,0.1975,0.1975,0.1975
1,5,0.281,0.11285,0.28446,0.15113,0.281,0.281,0.281
1,6,0.2874,0.10639,0.29676,0.15032,0.2874,0.2874,0.2874
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,8,0.1959,0.04764,0.19907,0.07484,0.1959,0.1959,0.1959
1,9,0.1172,0.03369,0.12224,0.04211,0.1172,0.1172,0.1172
2,0,0.1844,0.23697,0.19769,0.06328,0.1844,0.1844,0.1844
2,1,0.2209,0.34261,0.20988,0.08889,0.2209,0.2209,0.2209
2,2,0.3169,0.30694,0.32007,0.20439,0.3169,0.3169,0.3169
2,3,0.2449,0.27839,0.252,0.15309,0.2449,0.2449,0.2449
2,4,0.2284,0.26668,0.2307,0.12355,0.2284,0.2284,0.2284
2,5,0.3129,0.37238,0.31705,0.20764,0.3129,0.3129,0.3129
2,6,0.2907,0.37879,0.29998,0.16003,0.2907,0.2907,0.2907
2,7,0.3345,0.60617,0.3382,0.33368,0.3345,0.3345,0.3345
2,8,0.2008,0.24893,0.20407,0.08576,0.2008,0.2008,0.2008
2,9,0.5231,0.684,0.52994,0.51346,0.5231,0.5231,0.5231
3,0,0.2483,0.64461,0.2623,0.17718,0.2483,0.2483,0.2483
3,1,0.3458,0.74046,0.33623,0.3008,0.3458,0.3458,0.3458
3,2,0.3482,0.48579,0.35187,0.25415,0.3482,0.3482,0.3482
3,3,0.3514,0.5146,0.36081,0.30876,0.3514,0.3514,0.3514
3,4,0.2995,0.59234,0.30345,0.24394,0.2995,0.2995,0.2995
3,5,0.3592,0.59879,0.36371,0.27236,0.3592,0.3592,0.3592
3,6,0.3231,0.675,0.33204,0.22279,0.3231,0.3231,0.3231
3,7,0.5375,0.70494,0.53347,0.54215,0.5375,0.5375,0.5375
3,8,0.2207,0.70439,0.22431,0.12347,0.2207,0.2207,0.2207
3,9,0.6834,0.70269,0.6858,0.67701,0.6834,0.6834,0.6834
4,0,0.3174,0.75069,0.32988,0.28666,0.3174,0.3174,0.3174
4,1,0.4468,0.76592,0.43821,0.43816,0.4468,0.4468,0.4468
4,2,0.3812,0.6048,0.38516,0.305,0.3812,0.3812,0.3812
4,3,0.4294,0.65532,0.43563,0.41264,0.4294,0.4294,0.4294
