round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98752,0.98485,0.98485,0.98485,0.98752,0.98752,0.98752
1,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
1,2,0.98617,0.7197,0.73211,0.72572,0.98617,0.98617,0.98617
1,3,0.99201,0.64199,0.65276,0.64727,0.99201,0.99201,0.99201
1,4,0.99817,0.99905,0.97917,0.98888,0.99817,0.99817,0.99817
1,5,0.98899,0.99301,0.82712,0.88227,0.98899,0.98899,0.98899
1,6,0.99075,0.98337,0.98197,0.98267,0.99075,0.99075,0.99075
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99789,0.99769,0.99769,0.99769,0.99789,0.99789,0.99789
1,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,0,0.98674,0.9814,0.98669,0.98399,0.98674,0.98674,0.98674
2,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
2,2,0.98617,0.71936,0.72865,0.7239,0.98617,0.98617,0.98617
2,3,0.99201,0.64516,0.64898,0.64706,0.99201,0.99201,0.99201
2,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
2,5,0.99339,0.99598,0.8301,0.88524,0.99339,0.99339,0.99339
2,6,0.99201,0.98596,0.98451,0.98523,0.99201,0.99201,0.99201
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99895,0.99919,0.99851,0.99885,0.99895,0.99895,0.99895
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.9883,0.98469,0.98699,0.98583,0.9883,0.9883,0.9883
3,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
3,2,0.98838,0.97705,0.98274,0.97985,0.98838,0.98838,0.98838
3,3,0.99281,0.64898,0.64926,0.64912,0.99281,0.99281,0.99281
3,4,0.99817,0.99905,0.97917,0.98888,0.99817,0.99817,0.99817
3,5,0.99559,0.99731,0.83172,0.88673,0.99559,0.99559,0.99559
3,6,0.99327,0.98699,0.98699,0.98699,0.99327,0.99327,0.99327
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.98908,0.98527,0.98833,0.98679,0.98908,0.98908,0.98908
4,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
4,2,0.98949,0.97772,0.98341,0.98051,0.98949,0.98949,0.98949
4,3,0.99281,0.48967,0.48695,0.4883,0.99281,0.99281,0.99281
4,4,0.99726,0.99857,0.96875,0.98316,0.99726,0.99726,0.99726
4,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
4,6,0.99285,0.98667,0.98671,0.98669,0.99285,0.99285,0.99285
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.99142,0.98921,0.98998,0.98959,0.99142,0.99142,0.99142
5,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
5,2,0.98949,0.98064,0.98365,0.98213,0.98949,0.98949,0.98949
5,3,0.99281,0.48967,0.48695,0.4883,0.99281,0.99281,0.99281
5,4,0.99726,0.99857,0.96875,0.98316,0.99726,0.99726,0.99726
5,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
5,6,0.99369,0.98888,0.98732,0.9881,0.99369,0.99369,0.99369
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.9922,0.98978,0.99133,0.99055,0.9922,0.9922,0.9922
6,1,0.99862,0.66346,0.66617,0.66481,0.99862,0.99862,0.99862
6,2,0.99004,0.97818,0.98386,0.98097,0.99004,0.99004,0.99004
6,3,0.99281,0.48967,0.48695,0.4883,0.99281,0.99281,0.99281
6,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
6,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
6,6,0.99327,0.98855,0.98704,0.98779,0.99327,0.99327,0.99327
6,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
6,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,0.99142,0.98846,0.99078,0.98961,0.99142,0.99142,0.99142
7,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
7,2,0.9906,0.98154,0.98407,0.98279,0.9906,0.9906,0.9906
7,3,0.99361,0.49268,0.48716,0.48989,0.99361,0.99361,0.99361
7,4,0.99817,0.99905,0.97917,0.98888,0.99817,0.99817,0.99817
7,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
7,6,0.99327,0.98855,0.98704,0.98779,0.99327,0.99327,0.99327
7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
7,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0.98986,0.6581,0.65979,0.65893,0.98986,0.98986,0.98986
8,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
8,2,0.99004,0.98109,0.98386,0.98246,0.99004,0.99004,0.99004
8,3,0.99361,0.49268,0.48716,0.48989,0.99361,0.99361,0.99361
8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
8,6,0.99327,0.98855,0.98704,0.98779,0.99327,0.99327,0.99327
8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0.99895,0.99919,0.99851,0.99885,0.99895,0.99895,0.99895
8,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0,0.98986,0.6581,0.65979,0.65893,0.98986,0.98986,0.98986
9,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
9,2,0.99004,0.98109,0.98386,0.98246,0.99004,0.99004,0.99004
9,3,0.99361,0.49268,0.48716,0.48989,0.99361,0.99361,0.99361
9,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
9,6,0.99369,0.99046,0.98737,0.9889,0.99369,0.99369,0.99369
9,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
9,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,0.98986,0.6581,0.65979,0.65893,0.98986,0.98986,0.98986
10,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
10,2,0.99115,0.98477,0.98453,0.98465,0.99115,0.99115,0.99115
10,3,0.99361,0.49268,0.48716,0.48989,0.99361,0.99361,0.99361
10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
10,6,0.99369,0.99046,0.98737,0.9889,0.99369,0.99369,0.99369
10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,0.99947,0.99959,0.99925,0.99942,0.99947,0.99947,0.99947
10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,0.98908,0.65723,0.65942,0.65831,0.98908,0.98908,0.98908
11,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
11,2,0.9906,0.9813,0.98432,0.9828,0.9906,0.9906,0.9906
11,3,0.99361,0.49268,0.48716,0.48989,0.99361,0.99361,0.99361
11,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
11,5,0.9978,0.99865,0.83333,0.88821,0.9978,0.9978,0.9978
11,6,0.99453,0.99271,0.98793,0.9903,0.99453,0.99453,0.99453
11,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
