round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.82059,0.27394,0.22282,0.24412,0.82059,0.82059,0.82059
2,1,0.18815,0.24762,0.14076,0.1518,0.18815,0.18815,0.18815
2,2,0.41482,0.31795,0.36456,0.24284,0.41482,0.41482,0.41482
2,3,0.1271,0.16564,0.29177,0.05744,0.1271,0.1271,0.1271
2,4,0.04292,0.11298,0.1224,0.1175,0.04292,0.04292,0.04292
2,5,0.35242,0.13709,0.20528,0.12575,0.35242,0.35242,0.35242
2,6,0.81791,0.56093,0.50958,0.5289,0.81791,0.81791,0.81791
2,7,0.96063,0.25,0.24016,0.24498,0.96063,0.96063,0.96063
2,8,0.39589,0.24482,0.13122,0.13964,0.39589,0.39589,0.39589
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.88846,0.21467,0.1984,0.20617,0.88846,0.88846,0.88846
3,1,0.46382,0.22115,0.15809,0.17662,0.46382,0.46382,0.46382
3,2,0.7771,0.25356,0.36093,0.25154,0.7771,0.7771,0.7771
3,3,0.07834,0.1349,0.21987,0.04243,0.07834,0.07834,0.07834
3,4,0.37534,0.19792,0.13268,0.14951,0.37534,0.37534,0.37534
3,5,0.65198,0.30935,0.32238,0.26034,0.65198,0.65198,0.65198
3,6,0.86081,0.36693,0.33263,0.34726,0.86081,0.86081,0.86081
3,7,0.96588,0.33333,0.32196,0.32755,0.96588,0.96588,0.96588
3,8,0.51661,0.19759,0.12365,0.1397,0.51661,0.51661,0.51661
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.88924,0.19645,0.17677,0.18609,0.88924,0.88924,0.88924
4,1,0.84769,0.22222,0.20401,0.2123,0.84769,0.84769,0.84769
4,2,0.84292,0.27235,0.36888,0.27052,0.84292,0.84292,0.84292
4,3,0.22462,0.13421,0.21355,0.07999,0.22462,0.22462,0.22462
4,4,0.66484,0.19792,0.16296,0.17674,0.66484,0.66484,0.66484
4,5,0.7533,0.2233,0.24871,0.20922,0.7533,0.7533,0.7533
4,6,0.91211,0.29723,0.27633,0.28604,0.91211,0.91211,0.91211
4,7,0.96063,0.2,0.19213,0.19598,0.96063,0.96063,0.96063
4,8,0.77438,0.19893,0.16347,0.17793,0.77438,0.77438,0.77438
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.88924,0.19779,0.17613,0.18632,0.88924,0.88924,0.88924
5,1,0.91178,0.2,0.1905,0.19502,0.91178,0.91178,0.91178
5,2,0.776,0.28147,0.35783,0.27444,0.776,0.776,0.776
5,3,0.57474,0.1468,0.25218,0.13423,0.57474,0.57474,0.57474
5,4,0.8,0.2,0.17511,0.18631,0.8,0.8,0.8
