round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3078,0.30383,0.32023,0.21583,0.3078,0.3078,0.3078
2,0.4829,0.60643,0.49618,0.40999,0.4829,0.4829,0.4829
3,0.6419,0.6505,0.64583,0.59765,0.6419,0.6419,0.6419
4,0.713,0.68448,0.71482,0.67442,0.713,0.713,0.713
5,0.7448,0.80566,0.7456,0.70735,0.7448,0.7448,0.7448
6,0.7681,0.79909,0.76821,0.73434,0.7681,0.7681,0.7681
7,0.7835,0.81638,0.78359,0.75454,0.7835,0.7835,0.7835
8,0.8012,0.8262,0.80095,0.77823,0.8012,0.8012,0.8012
9,0.8131,0.83548,0.81268,0.79539,0.8131,0.8131,0.8131
10,0.825,0.84583,0.82465,0.81187,0.825,0.825,0.825
11,0.8405,0.85565,0.84021,0.83222,0.8405,0.8405,0.8405
12,0.848,0.86138,0.84762,0.84125,0.848,0.848,0.848
13,0.8548,0.86722,0.85455,0.84995,0.8548,0.8548,0.8548
14,0.862,0.87253,0.8618,0.8577,0.862,0.862,0.862
15,0.8684,0.87579,0.86823,0.86522,0.8684,0.8684,0.8684
16,0.8727,0.8798,0.87251,0.86991,0.8727,0.8727,0.8727
17,0.8783,0.88452,0.8781,0.87607,0.8783,0.8783,0.8783
18,0.8817,0.88796,0.88154,0.87971,0.8817,0.8817,0.8817
19,0.8855,0.89092,0.88535,0.88375,0.8855,0.8855,0.8855
20,0.889,0.89509,0.88878,0.88733,0.889,0.889,0.889
21,0.8922,0.89694,0.89204,0.89076,0.8922,0.8922,0.8922
22,0.8949,0.89867,0.89474,0.89347,0.8949,0.8949,0.8949
23,0.8971,0.90118,0.897,0.89592,0.8971,0.8971,0.8971
24,0.8994,0.90248,0.89935,0.8983,0.8994,0.8994,0.8994
25,0.9018,0.9047,0.90171,0.90075,0.9018,0.9018,0.9018
26,0.9028,0.90546,0.90277,0.90178,0.9028,0.9028,0.9028
27,0.9041,0.90693,0.90399,0.9031,0.9041,0.9041,0.9041
28,0.9067,0.91,0.90657,0.90589,0.9067,0.9067,0.9067
29,0.9077,0.9096,0.90759,0.90675,0.9077,0.9077,0.9077
30,0.9084,0.91118,0.90818,0.90743,0.9084,0.9084,0.9084
31,0.9104,0.91264,0.9102,0.9095,0.9104,0.9104,0.9104
32,0.9125,0.91446,0.91236,0.91176,0.9125,0.9125,0.9125
33,0.9122,0.9143,0.91201,0.91138,0.9122,0.9122,0.9122
34,0.9135,0.91521,0.91342,0.91271,0.9135,0.9135,0.9135
35,0.9138,0.9156,0.91358,0.91303,0.9138,0.9138,0.9138
36,0.9148,0.91688,0.91459,0.91406,0.9148,0.9148,0.9148
37,0.9153,0.91746,0.91516,0.91456,0.9153,0.9153,0.9153
38,0.9161,0.91854,0.9159,0.91544,0.9161,0.9161,0.9161
39,0.9166,0.9184,0.91642,0.91588,0.9166,0.9166,0.9166
40,0.9194,0.92117,0.91924,0.91879,0.9194,0.9194,0.9194
41,0.9188,0.92047,0.91866,0.91811,0.9188,0.9188,0.9188
42,0.9194,0.92135,0.91921,0.91873,0.9194,0.9194,0.9194
43,0.9201,0.92198,0.91992,0.91946,0.9201,0.9201,0.9201
44,0.9214,0.92297,0.92123,0.9207,0.9214,0.9214,0.9214
45,0.9213,0.92305,0.92118,0.92065,0.9213,0.9213,0.9213
46,0.9226,0.92362,0.92247,0.92192,0.9226,0.9226,0.9226
47,0.9235,0.92487,0.92334,0.92292,0.9235,0.9235,0.9235
48,0.9252,0.92647,0.92497,0.92467,0.9252,0.9252,0.9252
49,0.9246,0.92629,0.92443,0.92402,0.9246,0.9246,0.9246
50,0.9272,0.92854,0.92705,0.92672,0.9272,0.9272,0.9272
