round,comm_costs
1,35622000
2,35622000
3,35622000
4,35622000
5,35622000
6,35622000
7,35622000
8,35622000
9,35622000
10,35622000
11,35622000
12,35622000
13,35622000
14,35622000
15,35622000
16,35622000
17,35622000
18,35622000
19,35622000
20,35622000
21,35622000
22,35622000
23,35622000
24,35622000
25,35622000
26,35622000
27,35622000
28,35622000
29,35622000
30,35622000
31,35622000
32,35622000
33,35622000
34,35622000
35,35622000
36,35622000
37,35622000
38,35622000
39,35622000
40,35622000
41,35622000
42,35622000
43,35622000
44,35622000
45,35622000
46,35622000
47,35622000
48,35622000
49,35622000
50,35622000
