round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.2973,0.3662,0.31255,0.225,0.2973,0.2973,0.2973
2,0.3954,0.45357,0.41171,0.29957,0.3954,0.3954,0.3954
3,0.61,0.71004,0.61553,0.56383,0.61,0.61,0.61
4,0.6958,0.72372,0.69771,0.65475,0.6958,0.6958,0.6958
5,0.7202,0.69957,0.72177,0.6826,0.7202,0.7202,0.7202
6,0.7728,0.79275,0.77219,0.73969,0.7728,0.7728,0.7728
7,0.7518,0.80395,0.75283,0.72401,0.7518,0.7518,0.7518
8,0.7891,0.82779,0.78841,0.75976,0.7891,0.7891,0.7891
9,0.7767,0.79756,0.77624,0.76207,0.7767,0.7767,0.7767
10,0.7711,0.83918,0.77153,0.74376,0.7711,0.7711,0.7711
11,0.8356,0.85006,0.83573,0.82772,0.8356,0.8356,0.8356
12,0.8169,0.85498,0.81651,0.79901,0.8169,0.8169,0.8169
13,0.8608,0.87016,0.86038,0.85814,0.8608,0.8608,0.8608
14,0.8765,0.87556,0.87647,0.87496,0.8765,0.8765,0.8765
15,0.8654,0.8765,0.86487,0.86169,0.8654,0.8654,0.8654
16,0.8723,0.87528,0.87187,0.86957,0.8723,0.8723,0.8723
17,0.8785,0.87979,0.87859,0.87663,0.8785,0.8785,0.8785
18,0.8859,0.88994,0.88581,0.88444,0.8859,0.8859,0.8859
19,0.8951,0.89463,0.89481,0.8942,0.8951,0.8951,0.8951
20,0.8861,0.89292,0.88602,0.88461,0.8861,0.8861,0.8861
21,0.8869,0.89584,0.8864,0.88554,0.8869,0.8869,0.8869
22,0.8763,0.89204,0.87617,0.87327,0.8763,0.8763,0.8763
23,0.8866,0.89574,0.88658,0.88466,0.8866,0.8866,0.8866
24,0.8966,0.90162,0.89693,0.89587,0.8966,0.8966,0.8966
25,0.8979,0.90153,0.89855,0.89749,0.8979,0.8979,0.8979
26,0.8944,0.89902,0.8944,0.89268,0.8944,0.8944,0.8944
27,0.9036,0.90456,0.90368,0.90232,0.9036,0.9036,0.9036
28,0.905,0.90805,0.90486,0.90424,0.905,0.905,0.905
29,0.9046,0.90821,0.9046,0.90393,0.9046,0.9046,0.9046
30,0.9048,0.90921,0.90418,0.90386,0.9048,0.9048,0.9048
31,0.9091,0.9123,0.90908,0.90865,0.9091,0.9091,0.9091
32,0.9082,0.91015,0.90781,0.90723,0.9082,0.9082,0.9082
33,0.9051,0.90942,0.9049,0.90384,0.9051,0.9051,0.9051
34,0.9117,0.91403,0.91152,0.91095,0.9117,0.9117,0.9117
35,0.9143,0.91562,0.91397,0.91343,0.9143,0.9143,0.9143
36,0.9088,0.91386,0.90856,0.90782,0.9088,0.9088,0.9088
37,0.9144,0.91561,0.91412,0.91341,0.9144,0.9144,0.9144
38,0.9195,0.92114,0.91931,0.9191,0.9195,0.9195,0.9195
39,0.9178,0.91909,0.91732,0.91714,0.9178,0.9178,0.9178
40,0.9182,0.91953,0.91806,0.91744,0.9182,0.9182,0.9182
41,0.9196,0.92059,0.91951,0.91883,0.9196,0.9196,0.9196
42,0.9188,0.9195,0.91906,0.91792,0.9188,0.9188,0.9188
43,0.9139,0.91803,0.9138,0.91306,0.9139,0.9139,0.9139
44,0.9227,0.92374,0.92237,0.92202,0.9227,0.9227,0.9227
45,0.9199,0.92309,0.9196,0.91933,0.9199,0.9199,0.9199
46,0.9207,0.9218,0.92059,0.91993,0.9207,0.9207,0.9207
47,0.9248,0.92578,0.92482,0.9244,0.9248,0.9248,0.9248
48,0.9239,0.92633,0.92377,0.92366,0.9239,0.9239,0.9239
49,0.9284,0.92794,0.92843,0.92782,0.9284,0.9284,0.9284
50,0.9236,0.92394,0.92364,0.92278,0.9236,0.9236,0.9236
