round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.2922,0.34155,0.30749,0.22345,0.2922,0.2922,0.2922
1,1,0.2952,0.33273,0.31067,0.22292,0.2952,0.2952,0.2952
1,2,0.301,0.34849,0.31568,0.22936,0.301,0.301,0.301
1,3,0.3031,0.37238,0.31825,0.22804,0.3031,0.3031,0.3031
1,4,0.2983,0.36022,0.31365,0.22496,0.2983,0.2983,0.2983
1,5,0.2993,0.37265,0.31394,0.22781,0.2993,0.2993,0.2993
1,6,0.2926,0.32894,0.30777,0.22399,0.2926,0.2926,0.2926
1,7,0.3025,0.3761,0.31767,0.22906,0.3025,0.3025,0.3025
1,8,0.2984,0.35018,0.314,0.22275,0.2984,0.2984,0.2984
1,9,0.2953,0.33244,0.31044,0.22589,0.2953,0.2953,0.2953
2,0,0.3961,0.4632,0.41199,0.29998,0.3961,0.3961,0.3961
2,1,0.3955,0.45332,0.41183,0.29904,0.3955,0.3955,0.3955
2,2,0.3956,0.45691,0.41154,0.2994,0.3956,0.3956,0.3956
2,3,0.3967,0.45355,0.41326,0.30228,0.3967,0.3967,0.3967
2,4,0.3937,0.4533,0.40965,0.29539,0.3937,0.3937,0.3937
2,5,0.3932,0.45817,0.40954,0.29511,0.3932,0.3932,0.3932
2,6,0.396,0.46736,0.4126,0.30087,0.396,0.396,0.396
2,7,0.3942,0.5278,0.41132,0.30015,0.3942,0.3942,0.3942
2,8,0.3952,0.45267,0.41148,0.29942,0.3952,0.3952,0.3952
2,9,0.394,0.51908,0.41104,0.3029,0.394,0.394,0.394
3,0,0.611,0.71291,0.61631,0.56648,0.611,0.611,0.611
3,1,0.6105,0.71182,0.61635,0.56456,0.6105,0.6105,0.6105
3,2,0.6114,0.71162,0.6167,0.56517,0.6114,0.6114,0.6114
3,3,0.6083,0.70965,0.61417,0.56175,0.6083,0.6083,0.6083
3,4,0.6042,0.71409,0.60991,0.55918,0.6042,0.6042,0.6042
3,5,0.6085,0.71388,0.6148,0.56233,0.6085,0.6085,0.6085
3,6,0.6106,0.70692,0.61601,0.56339,0.6106,0.6106,0.6106
3,7,0.6098,0.70632,0.61541,0.56316,0.6098,0.6098,0.6098
3,8,0.6106,0.70791,0.61592,0.5631,0.6106,0.6106,0.6106
3,9,0.6089,0.71004,0.61478,0.56264,0.6089,0.6089,0.6089
4,0,0.6896,0.71882,0.69128,0.64947,0.6896,0.6896,0.6896
4,1,0.6979,0.72823,0.69997,0.65624,0.6979,0.6979,0.6979
4,2,0.6933,0.70618,0.69525,0.65241,0.6933,0.6933,0.6933
4,3,0.6982,0.70996,0.69989,0.6574,0.6982,0.6982,0.6982
