round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.97816,0.98055,0.96634,0.9731,0.97816,0.97816,0.97816
1,1,0.99793,0.98585,0.99889,0.99227,0.99793,0.99793,0.99793
1,2,0.98009,0.71725,0.72365,0.7203,0.98009,0.98009,0.98009
1,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
1,4,0.99635,0.96952,0.98815,0.97864,0.99635,0.99635,0.99635
1,5,0.98018,0.65325,0.65666,0.65493,0.98018,0.98018,0.98018
1,6,0.98402,0.97933,0.96277,0.97067,0.98402,0.98402,0.98402
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,0.99736,0.99762,0.99661,0.99711,0.99736,0.99736,0.99736
1,9,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333
2,0,0.98284,0.97991,0.97838,0.97914,0.98284,0.98284,0.98284
2,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
2,2,0.98396,0.72073,0.73498,0.72765,0.98396,0.98396,0.98396
2,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
2,4,0.99726,0.98841,0.97869,0.98349,0.99726,0.99726,0.99726
2,5,0.97797,0.9861,0.8193,0.87482,0.97797,0.97797,0.97797
2,6,0.98823,0.98125,0.97191,0.97648,0.98823,0.98823,0.98823
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,0.99631,0.99716,0.99478,0.99595,0.99631,0.99631,0.99631
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.98518,0.98391,0.98002,0.98194,0.98518,0.98518,0.98518
3,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
3,2,0.98451,0.72117,0.73519,0.72798,0.98451,0.98451,0.98451
3,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
3,4,0.99726,0.98841,0.97869,0.98349,0.99726,0.99726,0.99726
3,5,0.98458,0.98975,0.82441,0.8793,0.98458,0.98458,0.98458
3,6,0.98823,0.97833,0.97865,0.97848,0.98823,0.98823,0.98823
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.99789,0.99837,0.99702,0.99769,0.99789,0.99789,0.99789
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.98596,0.98223,0.98375,0.98299,0.98596,0.98596,0.98596
4,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
4,2,0.98341,0.71944,0.73257,0.72568,0.98341,0.98341,0.98341
4,3,0.99121,0.64463,0.64491,0.64477,0.99121,0.99121,0.99121
4,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
4,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
4,6,0.98991,0.98263,0.97812,0.98035,0.98991,0.98991,0.98991
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.99842,0.99878,0.99776,0.99827,0.99842,0.99842,0.99842
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.9844,0.98257,0.97948,0.981,0.9844,0.9844,0.9844
5,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
5,2,0.98451,0.72435,0.72753,0.72593,0.98451,0.98451,0.98451
5,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
5,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
5,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
5,6,0.99201,0.98924,0.98112,0.98511,0.99201,0.99201,0.99201
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,0.99789,0.99803,0.99736,0.99769,0.99789,0.99789,0.99789
5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.98908,0.98828,0.98516,0.9867,0.98908,0.98908,0.98908
6,1,0.99862,0.99048,0.99926,0.99482,0.99862,0.99862,0.99862
6,2,0.98617,0.72574,0.73533,0.73042,0.98617,0.98617,0.98617
6,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
6,4,0.99909,0.99952,0.98958,0.9945,0.99909,0.99909,0.99909
6,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
6,6,0.99159,0.9872,0.98093,0.98402,0.99159,0.99159,0.99159
6,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8,0.99736,0.99797,0.99627,0.99711,0.99736,0.99736,0.99736
6,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,0.98206,0.97384,0.98339,0.97844,0.98206,0.98206,0.98206
7,1,0.99931,0.99519,0.99963,0.9974,0.99931,0.99931,0.99931
7,2,0.98507,0.7253,0.73096,0.72807,0.98507,0.98507,0.98507
7,3,0.99281,0.64898,0.64926,0.64912,0.99281,0.99281,0.99281
7,4,0.99909,0.66667,0.66635,0.66651,0.99909,0.99909,0.99909
7,5,0.98678,0.99137,0.82577,0.88079,0.98678,0.98678,0.98678
7,6,0.99327,0.98856,0.9837,0.9861,0.99327,0.99327,0.99327
7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.99736,0.99762,0.99661,0.99711,0.99736,0.99736,0.99736
7,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0.98908,0.98527,0.98833,0.98679,0.98908,0.98908,0.98908
8,1,0.99931,0.66667,0.66642,0.66654,0.99931,0.99931,0.99931
8,2,0.98617,0.72822,0.72518,0.72669,0.98617,0.98617,0.98617
8,3,0.99281,0.65246,0.64549,0.64892,0.99281,0.99281,0.99281
8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,0.99119,0.99467,0.82848,0.88376,0.99119,0.99119,0.99119
8,6,0.99243,0.98638,0.98474,0.98556,0.99243,0.99243,0.99243
8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0.99684,0.99756,0.99553,0.99653,0.99684,0.99684,0.99684
8,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0,0.98908,0.98751,0.98595,0.98672,0.98908,0.98908,0.98908
9,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
9,2,0.98507,0.97602,0.97631,0.97611,0.98507,0.98507,0.98507
9,3,0.99361,0.6529,0.64955,0.65121,0.99361,0.99361,0.99361
9,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,0.99119,0.99407,0.82901,0.88376,0.99119,0.99119,0.99119
9,6,0.99285,0.98823,0.98342,0.9858,0.99285,0.99285,0.99285
9,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,0.99736,0.99797,0.99627,0.99711,0.99736,0.99736,0.99736
9,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0,0.9922,0.99131,0.98974,0.99052,0.9922,0.9922,0.9922
10,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
10,2,0.98507,0.72528,0.72749,0.72637,0.98507,0.98507,0.98507
10,3,0.99281,0.64898,0.64926,0.64912,0.99281,0.99281,0.99281
10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,5,0.99119,0.99407,0.82901,0.88376,0.99119,0.99119,0.99119
10,6,0.99285,0.98671,0.98507,0.98589,0.99285,0.99285,0.99285
10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,0.99789,0.99837,0.99702,0.99769,0.99789,0.99789,0.99789
10,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,0.99064,0.98864,0.98864,0.98864,0.99064,0.99064,0.99064
11,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
11,2,0.98728,0.72616,0.73278,0.72942,0.98728,0.98728,0.98728
11,3,0.99361,0.6529,0.64955,0.65121,0.99361,0.99361,0.99361
11,4,0.99909,0.66667,0.66635,0.66651,0.99909,0.99909,0.99909
11,5,0.99119,0.99407,0.82901,0.88376,0.99119,0.99119,0.99119
11,6,0.99369,0.98893,0.98563,0.98727,0.99369,0.99369,0.99369
11,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,0.99842,0.99878,0.99776,0.99827,0.99842,0.99842,0.99842
11,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0,0.98908,0.98989,0.98357,0.98666,0.98908,0.98908,0.98908
12,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
12,2,0.98617,0.58094,0.58549,0.58318,0.98617,0.98617,0.98617
12,3,0.99281,0.48967,0.48695,0.4883,0.99281,0.99281,0.99281
12,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,5,0.99119,0.99407,0.82901,0.88376,0.99119,0.99119,0.99119
12,6,0.99453,0.99113,0.98628,0.98868,0.99453,0.99453,0.99453
12,7,0.99738,0.5,0.49869,0.49934,0.99738,0.99738,0.99738
12,8,0.99736,0.99797,0.99627,0.99711,0.99736,0.99736,0.99736
12,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0,0.98752,0.65506,0.65922,0.65708,0.98752,0.98752,0.98752
13,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
13,2,0.98838,0.78434,0.78639,0.78535,0.98838,0.98838,0.98838
13,3,0.99201,0.48934,0.4839,0.48659,0.99201,0.99201,0.99201
13,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,5,0.99119,0.99434,0.82874,0.88376,0.99119,0.99119,0.99119
13,6,0.99369,0.99052,0.98568,0.98807,0.99369,0.99369,0.99369
13,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,8,0.99895,0.99919,0.99851,0.99885,0.99895,0.99895,0.99895
13,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,0.98752,0.65551,0.65869,0.65707,0.98752,0.98752,0.98752
14,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
14,2,0.98562,0.77851,0.78477,0.78155,0.98562,0.98562,0.98562
14,3,0.99281,0.48967,0.48695,0.4883,0.99281,0.99281,0.99281
14,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,5,0.99339,0.99598,0.8301,0.88524,0.99339,0.99339,0.99339
14,6,0.99285,0.98985,0.98676,0.98829,0.99285,0.99285,0.99285
14,7,0.99738,0.5,0.49869,0.49934,0.99738,0.99738,0.99738
14,8,0.99789,0.99837,0.99702,0.99769,0.99789,0.99789,0.99789
14,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0,0.98986,0.6581,0.65979,0.65893,0.98986,0.98986,0.98986
15,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
15,2,0.98838,0.78453,0.78619,0.78535,0.98838,0.98838,0.98838
15,3,0.99281,0.48967,0.48695,0.4883,0.99281,0.99281,0.99281
15,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,5,0.99119,0.99467,0.82848,0.88376,0.99119,0.99119,0.99119
15,6,0.99411,0.99083,0.9876,0.98921,0.99411,0.99411,0.99411
15,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,8,0.99789,0.99837,0.99702,0.99769,0.99789,0.99789,0.99789
15,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0,0.9883,0.65938,0.65587,0.6576,0.9883,0.9883,0.9883
16,1,0.99862,0.5,0.49963,0.49981,0.99862,0.99862,0.99862
