round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,loss
1,0.9336,0.93332,0.93335,0.93287,0.9336,0.9336,0.9336,0.22559
2,0.956,0.95636,0.95512,0.95552,0.956,0.956,0.956,0.14407
3,0.9661,0.96614,0.9657,0.96575,0.9661,0.9661,0.9661,0.11352
4,0.9696,0.96974,0.96922,0.9694,0.9696,0.9696,0.9696,0.09553
5,0.9717,0.97179,0.97149,0.97144,0.9717,0.9717,0.9717,0.09372
6,0.9746,0.97441,0.97445,0.97434,0.9746,0.9746,0.9746,0.079
7,0.9773,0.97738,0.97701,0.97715,0.9773,0.9773,0.9773,0.07362
8,0.9767,0.9766,0.97656,0.97655,0.9767,0.9767,0.9767,0.06914
9,0.9787,0.97862,0.97856,0.97856,0.9787,0.9787,0.9787,0.067
10,0.9781,0.97798,0.97799,0.97795,0.9781,0.9781,0.9781,0.07148
11,0.9791,0.97905,0.97896,0.97898,0.9791,0.9791,0.9791,0.06578
12,0.9767,0.97663,0.97661,0.97652,0.9767,0.9767,0.9767,0.07502
13,0.9802,0.9801,0.97999,0.98003,0.9802,0.9802,0.9802,0.0653
14,0.9799,0.9798,0.97977,0.97976,0.9799,0.9799,0.9799,0.06606
15,0.9788,0.9788,0.97859,0.97864,0.9788,0.9788,0.9788,0.07241
16,0.9786,0.97861,0.97835,0.97845,0.9786,0.9786,0.9786,0.06971
17,0.9796,0.97961,0.9794,0.97949,0.9796,0.9796,0.9796,0.06926
18,0.9796,0.97955,0.97942,0.97945,0.9796,0.9796,0.9796,0.07284
19,0.9793,0.97923,0.97916,0.97917,0.9793,0.9793,0.9793,0.07036
20,0.9805,0.98046,0.98032,0.98038,0.9805,0.9805,0.9805,0.06862
21,0.9799,0.97982,0.97972,0.97974,0.9799,0.9799,0.9799,0.07051
22,0.9798,0.97971,0.97962,0.97965,0.9798,0.9798,0.9798,0.07238
23,0.9795,0.97955,0.97917,0.97931,0.9795,0.9795,0.9795,0.07537
24,0.9801,0.98002,0.97989,0.97995,0.9801,0.9801,0.9801,0.0721
25,0.9802,0.98004,0.98006,0.98004,0.9802,0.9802,0.9802,0.07167
26,0.9806,0.98048,0.98043,0.98045,0.9806,0.9806,0.9806,0.07244
27,0.9808,0.98062,0.98065,0.98063,0.9808,0.9808,0.9808,0.07245
28,0.9804,0.98028,0.98022,0.98024,0.9804,0.9804,0.9804,0.07306
29,0.9808,0.98068,0.98059,0.98063,0.9808,0.9808,0.9808,0.07318
30,0.98,0.97986,0.97981,0.97982,0.98,0.98,0.98,0.07351
31,0.9803,0.9802,0.98008,0.98013,0.9803,0.9803,0.9803,0.0741
32,0.9803,0.98016,0.98011,0.98013,0.9803,0.9803,0.9803,0.07483
33,0.98,0.9799,0.97979,0.97984,0.98,0.98,0.98,0.07567
34,0.9803,0.98017,0.98009,0.98012,0.9803,0.9803,0.9803,0.07572
35,0.9805,0.9804,0.98027,0.98033,0.9805,0.9805,0.9805,0.07604
36,0.9807,0.98058,0.98048,0.98052,0.9807,0.9807,0.9807,0.07688
37,0.9801,0.97995,0.97988,0.97991,0.9801,0.9801,0.9801,0.07664
38,0.9805,0.98038,0.98031,0.98034,0.9805,0.9805,0.9805,0.0764
39,0.9799,0.97977,0.97968,0.97972,0.9799,0.9799,0.9799,0.07658
40,0.9804,0.98029,0.98021,0.98024,0.9804,0.9804,0.9804,0.07714
41,0.9804,0.98031,0.98018,0.98023,0.9804,0.9804,0.9804,0.07823
42,0.9802,0.98012,0.97998,0.98004,0.9802,0.9802,0.9802,0.07791
43,0.9802,0.98007,0.98003,0.98004,0.9802,0.9802,0.9802,0.07768
44,0.98,0.97987,0.97977,0.97981,0.98,0.98,0.98,0.07865
45,0.9804,0.98028,0.9802,0.98023,0.9804,0.9804,0.9804,0.07866
46,0.9801,0.97996,0.9799,0.97993,0.9801,0.9801,0.9801,0.07845
47,0.9798,0.9797,0.97959,0.97964,0.9798,0.9798,0.9798,0.07848
48,0.9798,0.97967,0.97957,0.97962,0.9798,0.9798,0.9798,0.07871
49,0.9801,0.97999,0.9799,0.97994,0.9801,0.9801,0.9801,0.07931
50,0.9801,0.97998,0.97986,0.97992,0.9801,0.9801,0.9801,0.07966
