round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8403,0.79521,0.75663,0.77236,0.8403,0.8403,0.8403
1,1,0.80788,0.82593,0.63135,0.65255,0.80788,0.80788,0.80788
1,2,0.83312,0.77933,0.76295,0.77043,0.83312,0.83312,0.83312
1,3,0.366,0.63298,0.5753,0.35531,0.366,0.366,0.366
2,0,0.83938,0.80055,0.74268,0.76395,0.83938,0.83938,0.83938
2,1,0.82059,0.82928,0.66203,0.6906,0.82059,0.82059,0.82059
2,2,0.84049,0.79235,0.76465,0.77661,0.84049,0.84049,0.84049
2,3,0.63566,0.68904,0.74378,0.62639,0.63566,0.63566,0.63566
3,0,0.83975,0.79629,0.75182,0.76937,0.83975,0.83975,0.83975
3,1,0.81783,0.83406,0.65303,0.68014,0.81783,0.81783,0.81783
3,2,0.83938,0.79072,0.76317,0.77507,0.83938,0.83938,0.83938
3,3,0.63511,0.68859,0.74317,0.62585,0.63511,0.63511,0.63511
4,0,0.83975,0.79335,0.75823,0.7728,0.83975,0.83975,0.83975
4,1,0.81765,0.83138,0.65365,0.68076,0.81765,0.81765,0.81765
4,2,0.84012,0.79301,0.76095,0.77447,0.84012,0.84012,0.84012
4,3,0.64119,0.69061,0.74697,0.6313,0.64119,0.64119,0.64119
5,0,0.84012,0.79842,0.74935,0.76827,0.84012,0.84012,0.84012
5,1,0.82151,0.82421,0.66684,0.69581,0.82151,0.82151,0.82151
5,2,0.83607,0.78498,0.76146,0.7718,0.83607,0.83607,0.83607
5,3,0.64358,0.69057,0.74758,0.63328,0.64358,0.64358,0.64358
6,0,0.84085,0.79634,0.75675,0.77282,0.84085,0.84085,0.84085
6,1,0.81673,0.83084,0.65156,0.6782,0.81673,0.81673,0.81673
6,2,0.83993,0.79317,0.75959,0.77364,0.83993,0.83993,0.83993
6,3,0.64634,0.69163,0.74942,0.63577,0.64634,0.64634,0.64634
7,0,0.8392,0.79058,0.76256,0.77462,0.8392,0.8392,0.8392
7,1,0.81728,0.82854,0.6539,0.68092,0.81728,0.81728,0.81728
7,2,0.84012,0.79422,0.75799,0.77294,0.84012,0.84012,0.84012
7,3,0.64469,0.69146,0.74881,0.63437,0.64469,0.64469,0.64469
8,0,0.83883,0.79822,0.74429,0.7645,0.83883,0.83883,0.83883
8,1,0.81967,0.82441,0.66191,0.69016,0.81967,0.81967,0.81967
8,2,0.83828,0.78952,0.76046,0.77289,0.83828,0.83828,0.83828
8,3,0.64837,0.69241,0.75076,0.6376,0.64837,0.64837,0.64837
9,0,0.83957,0.79669,0.75021,0.76836,0.83957,0.83957,0.83957
9,1,0.82096,0.82451,0.66524,0.694,0.82096,0.82096,0.82096
9,2,0.83699,0.78606,0.76355,0.77352,0.83699,0.83699,0.83699
9,3,0.64819,0.69234,0.75064,0.63743,0.64819,0.64819,0.64819
10,0,0.84049,0.79623,0.75527,0.77177,0.84049,0.84049,0.84049
10,1,0.8182,0.82411,0.65821,0.68582,0.8182,0.8182,0.8182
10,2,0.83717,0.78659,0.76294,0.77334,0.83717,0.83717,0.83717
10,3,0.64063,0.68944,0.74561,0.63062,0.64063,0.64063,0.64063
11,0,0.84122,0.79679,0.75749,0.77347,0.84122,0.84122,0.84122
11,1,0.81415,0.83342,0.64416,0.66916,0.81415,0.81415,0.81415
11,2,0.83883,0.79065,0.76034,0.77323,0.83883,0.83883,0.83883
11,3,0.64966,0.69244,0.75113,0.63866,0.64966,0.64966,0.64966
12,0,0.83791,0.78988,0.7575,0.7711,0.83791,0.83791,0.83791
12,1,0.81986,0.82311,0.66302,0.69136,0.81986,0.81986,0.81986
12,2,0.83625,0.78387,0.76677,0.77456,0.83625,0.83625,0.83625
12,3,0.64911,0.69223,0.75076,0.63817,0.64911,0.64911,0.64911
13,0,0.84085,0.79634,0.75675,0.77282,0.84085,0.84085,0.84085
13,1,0.81599,0.83242,0.64909,0.67525,0.81599,0.81599,0.81599
13,2,0.83662,0.78484,0.76553,0.77422,0.83662,0.83662,0.83662
13,3,0.64248,0.69086,0.74758,0.63242,0.64248,0.64248,0.64248
14,0,0.83975,0.79691,0.75058,0.7687,0.83975,0.83975,0.83975
14,1,0.81875,0.82535,0.65908,0.68691,0.81875,0.81875,0.81875
14,2,0.83828,0.79006,0.75898,0.77213,0.83828,0.83828,0.83828
14,3,0.65297,0.69351,0.75309,0.6416,0.65297,0.65297,0.65297
15,0,0.83901,0.79613,0.74886,0.76722,0.83901,0.83901,0.83901
15,1,0.81691,0.82925,0.65267,0.67947,0.81691,0.81691,0.81691
15,2,0.83625,0.78582,0.75985,0.77112,0.83625,0.83625,0.83625
15,3,0.64634,0.69092,0.74867,0.63563,0.64634,0.64634,0.64634
16,0,0.83901,0.79116,0.75997,0.77317,0.83901,0.83901,0.83901
16,1,0.81525,0.83346,0.64687,0.67254,0.81525,0.81525,0.81525
16,2,0.84049,0.79416,0.75996,0.77423,0.84049,0.84049,0.84049
16,3,0.64892,0.69215,0.75064,0.638,0.64892,0.64892,0.64892
17,0,0.83975,0.79387,0.757,0.77216,0.83975,0.83975,0.83975
17,1,0.82022,0.82721,0.66203,0.69047,0.82022,0.82022,0.82022
17,2,0.83809,0.78929,0.76009,0.77257,0.83809,0.83809,0.83809
17,3,0.64616,0.69132,0.74905,0.63556,0.64616,0.64616,0.64616
18,0,0.83957,0.79292,0.75836,0.77274,0.83957,0.83957,0.83957
18,1,0.8158,0.83219,0.64872,0.67478,0.8158,0.8158,0.8158
18,2,0.83772,0.78874,0.7596,0.77205,0.83772,0.83772,0.83772
18,3,0.64911,0.69223,0.75076,0.63817,0.64911,0.64911,0.64911
19,0,0.83938,0.79249,0.75848,0.77267,0.83938,0.83938,0.83938
19,1,0.81691,0.82576,0.65415,0.68108,0.81691,0.81691,0.81691
19,2,0.84049,0.79447,0.75922,0.77385,0.84049,0.84049,0.84049
19,3,0.64561,0.69158,0.74917,0.63515,0.64561,0.64561,0.64561
20,0,0.83957,0.79581,0.75194,0.76931,0.83957,0.83957,0.83957
20,1,0.81746,0.82209,0.65723,0.68455,0.81746,0.81746,0.81746
20,2,0.83772,0.78892,0.75911,0.7718,0.83772,0.83772,0.83772
20,3,0.64966,0.69197,0.75064,0.63857,0.64966,0.64966,0.64966
