round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.5399,0.44622,0.44106,0.44266,0.5399,0.5399,0.5399
1,1,0.61144,0.46129,0.4254,0.42747,0.61144,0.61144,0.61144
1,2,0.49648,0.42523,0.42722,0.4261,0.49648,0.49648,0.49648
1,3,0.23404,0.50955,0.52053,0.22527,0.23404,0.23404,0.23404
2,0,0.83493,0.80915,0.74588,0.76782,0.83493,0.83493,0.83493
2,1,0.87816,0.72319,0.71641,0.71972,0.87816,0.87816,0.87816
2,2,0.79747,0.79838,0.7289,0.74642,0.79747,0.79747,0.79747
2,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
3,0,0.83539,0.81054,0.74565,0.76798,0.83539,0.83539,0.83539
3,1,0.88336,0.73496,0.71939,0.72675,0.88336,0.88336,0.88336
3,2,0.79325,0.79287,0.72363,0.74073,0.79325,0.79325,0.79325
3,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
4,0,0.83356,0.80593,0.74548,0.7667,0.83356,0.83356,0.83356
4,1,0.88262,0.73334,0.72148,0.72716,0.88262,0.88262,0.88262
4,2,0.79044,0.78873,0.72046,0.7372,0.79044,0.79044,0.79044
4,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
5,0,0.82946,0.79811,0.74214,0.76208,0.82946,0.82946,0.82946
5,1,0.8789,0.72528,0.72187,0.72355,0.8789,0.8789,0.8789
5,2,0.78903,0.78474,0.72046,0.73669,0.78903,0.78903,0.78903
5,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
6,0,0.82991,0.79976,0.74138,0.76191,0.82991,0.82991,0.82991
6,1,0.8789,0.72504,0.71935,0.72214,0.8789,0.8789,0.8789
6,2,0.78903,0.78601,0.71941,0.73586,0.78903,0.78903,0.78903
6,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
7,0,0.83083,0.80082,0.74307,0.76351,0.83083,0.83083,0.83083
7,1,0.88039,0.7285,0.72272,0.72555,0.88039,0.88039,0.88039
7,2,0.79044,0.78742,0.72152,0.73803,0.79044,0.79044,0.79044
7,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
8,0,0.83128,0.79952,0.74661,0.76589,0.83128,0.83128,0.83128
8,1,0.88039,0.7287,0.72524,0.72695,0.88039,0.88039,0.88039
8,2,0.78903,0.78353,0.72152,0.73751,0.78903,0.78903,0.78903
8,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
9,0,0.83037,0.80186,0.74008,0.76141,0.83037,0.83037,0.83037
9,1,0.88039,0.7283,0.7202,0.72413,0.88039,0.88039,0.88039
9,2,0.79044,0.79009,0.71941,0.73636,0.79044,0.79044,0.79044
9,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
10,0,0.82855,0.79778,0.73937,0.75983,0.82855,0.82855,0.82855
10,1,0.88039,0.7287,0.72524,0.72695,0.88039,0.88039,0.88039
10,2,0.78762,0.78332,0.71835,0.73452,0.78762,0.78762,0.78762
10,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
11,0,0.82718,0.79472,0.73897,0.75874,0.82718,0.82718,0.82718
11,1,0.87741,0.7227,0.72605,0.72435,0.87741,0.87741,0.87741
11,2,0.78762,0.7821,0.71941,0.73535,0.78762,0.78762,0.78762
11,3,0.61702,0.5814,0.7931,0.50957,0.61702,0.61702,0.61702
12,0,0.82763,0.79634,0.73821,0.75856,0.82763,0.82763,0.82763
12,1,0.88187,0.73164,0.72105,0.72615,0.88187,0.88187,0.88187
12,2,0.78762,0.78332,0.71835,0.73452,0.78762,0.78762,0.78762
12,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
13,0,0.82809,0.79409,0.74335,0.76194,0.82809,0.82809,0.82809
13,1,0.87667,0.72119,0.72563,0.72337,0.87667,0.87667,0.87667
13,2,0.78481,0.77689,0.7173,0.73267,0.78481,0.78481,0.78481
13,3,0.61702,0.5814,0.7931,0.50957,0.61702,0.61702,0.61702
14,0,0.82946,0.79961,0.73999,0.76078,0.82946,0.82946,0.82946
14,1,0.87964,0.7271,0.72481,0.72595,0.87964,0.87964,0.87964
14,2,0.79044,0.78873,0.72046,0.7372,0.79044,0.79044,0.79044
14,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
15,0,0.82809,0.79688,0.73906,0.75936,0.82809,0.82809,0.82809
15,1,0.88113,0.72996,0.72063,0.72514,0.88113,0.88113,0.88113
15,2,0.78762,0.78458,0.7173,0.73368,0.78762,0.78762,0.78762
15,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
16,0,0.82855,0.79855,0.73829,0.75917,0.82855,0.82855,0.82855
16,1,0.87816,0.72344,0.71893,0.72115,0.87816,0.87816,0.87816
16,2,0.79184,0.79013,0.72257,0.73938,0.79184,0.79184,0.79184
16,3,0.59574,0.57778,0.78161,0.49491,0.59574,0.59574,0.59574
17,0,0.82855,0.79816,0.73883,0.7595,0.82855,0.82855,0.82855
17,1,0.8789,0.72504,0.71935,0.72214,0.8789,0.8789,0.8789
17,2,0.78481,0.77921,0.71519,0.731,0.78481,0.78481,0.78481
17,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
18,0,0.82809,0.79544,0.7412,0.76066,0.82809,0.82809,0.82809
18,1,0.88039,0.7289,0.72775,0.72833,0.88039,0.88039,0.88039
18,2,0.78762,0.7821,0.71941,0.73535,0.78762,0.78762,0.78762
18,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
19,0,0.82855,0.79704,0.74044,0.76049,0.82855,0.82855,0.82855
19,1,0.87816,0.72344,0.71893,0.72115,0.87816,0.87816,0.87816
19,2,0.78762,0.7821,0.71941,0.73535,0.78762,0.78762,0.78762
19,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
20,0,0.82763,0.79525,0.73982,0.75954,0.82763,0.82763,0.82763
20,1,0.87816,0.72344,0.71893,0.72115,0.87816,0.87816,0.87816
20,2,0.78762,0.7821,0.71941,0.73535,0.78762,0.78762,0.78762
20,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
21,0,0.82809,0.79651,0.73959,0.75969,0.82809,0.82809,0.82809
21,1,0.88039,0.7287,0.72524,0.72695,0.88039,0.88039,0.88039
21,2,0.78622,0.78188,0.71624,0.73234,0.78622,0.78622,0.78622
21,3,0.60638,0.57955,0.78736,0.50222,0.60638,0.60638,0.60638
