round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.83938,0.80232,0.73997,0.76234,0.83938,0.83938,0.83938
2,0.83828,0.80181,0.73652,0.75951,0.83828,0.83828,0.83828
3,0.83864,0.80125,0.73874,0.7611,0.83864,0.83864,0.83864
4,0.83957,0.80238,0.74058,0.76284,0.83957,0.83957,0.83957
5,0.83993,0.80108,0.74404,0.76512,0.83993,0.83993,0.83993
6,0.84012,0.8004,0.74589,0.76631,0.84012,0.84012,0.84012
7,0.83938,0.80183,0.74071,0.76278,0.83938,0.83938,0.83938
8,0.83791,0.79904,0.73923,0.7609,0.83791,0.83791,0.83791
9,0.83957,0.80078,0.74305,0.76429,0.83957,0.83957,0.83957
10,0.83772,0.80044,0.73639,0.75907,0.83772,0.83772,0.83772
11,0.83828,0.80286,0.73503,0.7586,0.83828,0.83828,0.83828
12,0.83975,0.80245,0.7412,0.76333,0.83975,0.83975,0.83975
13,0.83791,0.79952,0.73849,0.76046,0.83791,0.83791,0.83791
14,0.83993,0.80108,0.74404,0.76512,0.83993,0.83993,0.83993
15,0.83864,0.80108,0.73898,0.76125,0.83864,0.83864,0.83864
16,0.8392,0.8008,0.74157,0.76317,0.8392,0.8392,0.8392
17,0.83828,0.80181,0.73652,0.75951,0.83828,0.83828,0.83828
18,0.83975,0.8018,0.74219,0.76391,0.83975,0.83975,0.83975
19,0.83864,0.80368,0.73528,0.759,0.83864,0.83864,0.83864
20,0.83864,0.80027,0.74022,0.76199,0.83864,0.83864,0.83864
