round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82809,0.78949,0.75195,0.76684,0.82809,0.82809,0.82809
1,1,0.89227,0.77657,0.65153,0.68812,0.89227,0.89227,0.89227
1,2,0.80309,0.78555,0.75738,0.76786,0.80309,0.80309,0.80309
1,3,0.95745,0.97802,0.71429,0.78876,0.95745,0.95745,0.95745
2,0,0.82991,0.79268,0.75319,0.76872,0.82991,0.82991,0.82991
2,1,0.8945,0.79782,0.64022,0.68001,0.8945,0.8945,0.8945
2,2,0.79887,0.78555,0.74473,0.75807,0.79887,0.79887,0.79887
2,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
3,0,0.82399,0.78035,0.75505,0.76581,0.82399,0.82399,0.82399
3,1,0.8945,0.79361,0.64525,0.68466,0.8945,0.8945,0.8945
3,2,0.79325,0.78154,0.73418,0.74847,0.79325,0.79325,0.79325
3,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
4,0,0.82809,0.78974,0.75141,0.76654,0.82809,0.82809,0.82809
4,1,0.89599,0.79276,0.65868,0.69783,0.89599,0.89599,0.89599
4,2,0.79466,0.78041,0.73945,0.75265,0.79466,0.79466,0.79466
4,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
5,0,0.82627,0.78501,0.75392,0.76671,0.82627,0.82627,0.82627
5,1,0.89747,0.78475,0.68721,0.72144,0.89747,0.89747,0.89747
5,2,0.79606,0.78442,0.7384,0.7526,0.79606,0.79606,0.79606
5,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
6,0,0.82399,0.78001,0.75613,0.76638,0.82399,0.82399,0.82399
6,1,0.89599,0.77773,0.68888,0.72098,0.89599,0.89599,0.89599
6,2,0.79325,0.78154,0.73418,0.74847,0.79325,0.79325,0.79325
6,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
7,0,0.82399,0.78314,0.74753,0.76172,0.82399,0.82399,0.82399
7,1,0.8945,0.78817,0.6528,0.69135,0.8945,0.8945,0.8945
7,2,0.79044,0.76599,0.75316,0.75866,0.79044,0.79044,0.79044
7,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
8,0,0.82763,0.78664,0.75647,0.76898,0.82763,0.82763,0.82763
8,1,0.89302,0.78338,0.64692,0.68478,0.89302,0.89302,0.89302
8,2,0.79747,0.78496,0.74156,0.75535,0.79747,0.79747,0.79747
8,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
9,0,0.82718,0.78653,0.75455,0.76765,0.82718,0.82718,0.82718
9,1,0.89747,0.78827,0.67966,0.71596,0.89747,0.89747,0.89747
9,2,0.79747,0.78411,0.74262,0.75604,0.79747,0.79747,0.79747
9,3,0.95745,0.88315,0.77997,0.82197,0.95745,0.95745,0.95745
10,0,0.82718,0.78791,0.75132,0.7659,0.82718,0.82718,0.82718
10,1,0.89376,0.78748,0.64734,0.68585,0.89376,0.89376,0.89376
10,2,0.79887,0.78728,0.74262,0.75671,0.79887,0.79887,0.79887
10,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
11,0,0.82535,0.78597,0.74739,0.76252,0.82535,0.82535,0.82535
11,1,0.8945,0.80521,0.63267,0.67275,0.8945,0.8945,0.8945
11,2,0.79606,0.78442,0.7384,0.7526,0.79606,0.79606,0.79606
11,3,0.95745,0.88315,0.77997,0.82197,0.95745,0.95745,0.95745
12,0,0.82672,0.78494,0.75638,0.76833,0.82672,0.82672,0.82672
12,1,0.89747,0.80086,0.65953,0.70004,0.89747,0.89747,0.89747
12,2,0.79747,0.78496,0.74156,0.75535,0.79747,0.79747,0.79747
12,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
13,0,0.82581,0.78728,0.74663,0.76239,0.82581,0.82581,0.82581
13,1,0.89747,0.79093,0.67463,0.71216,0.89747,0.89747,0.89747
13,2,0.79887,0.78555,0.74473,0.75807,0.79887,0.79887,0.79887
13,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
14,0,0.8249,0.78128,0.75729,0.76759,0.8249,0.8249,0.8249
14,1,0.89673,0.79332,0.66414,0.70309,0.89673,0.89673,0.89673
14,2,0.79466,0.78123,0.7384,0.75195,0.79466,0.79466,0.79466
14,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
15,0,0.82353,0.78237,0.74722,0.76126,0.82353,0.82353,0.82353
15,1,0.89673,0.79024,0.66917,0.70713,0.89673,0.89673,0.89673
15,2,0.79466,0.78123,0.7384,0.75195,0.79466,0.79466,0.79466
15,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
16,0,0.82718,0.78653,0.75455,0.76765,0.82718,0.82718,0.82718
16,1,0.89599,0.78666,0.66875,0.70602,0.89599,0.89599,0.89599
16,2,0.79747,0.78411,0.74262,0.75604,0.79747,0.79747,0.79747
16,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
17,0,0.82399,0.78433,0.74484,0.7602,0.82399,0.82399,0.82399
17,1,0.89302,0.78504,0.6444,0.68252,0.89302,0.89302,0.89302
17,2,0.80169,0.79102,0.74578,0.76011,0.80169,0.80169,0.80169
17,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
18,0,0.82444,0.7804,0.75751,0.7674,0.82444,0.82444,0.82444
18,1,0.89525,0.79405,0.65071,0.69024,0.89525,0.89525,0.89525
18,2,0.79466,0.78209,0.73734,0.75125,0.79466,0.79466,0.79466
18,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
19,0,0.82535,0.78781,0.74363,0.76037,0.82535,0.82535,0.82535
19,1,0.89525,0.79599,0.64819,0.68801,0.89525,0.89525,0.89525
19,2,0.79606,0.78353,0.73945,0.75331,0.79606,0.79606,0.79606
19,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
20,0,0.8249,0.78518,0.74708,0.76206,0.8249,0.8249,0.8249
20,1,0.89599,0.78532,0.67126,0.70799,0.89599,0.89599,0.89599
20,2,0.79606,0.78353,0.73945,0.75331,0.79606,0.79606,0.79606
20,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
21,0,0.8249,0.78518,0.74708,0.76206,0.8249,0.8249,0.8249
21,1,0.89599,0.78532,0.67126,0.70799,0.89599,0.89599,0.89599
21,2,0.79606,0.78353,0.73945,0.75331,0.79606,0.79606,0.79606
21,3,0.96809,0.98333,0.78571,0.85516,0.96809,0.96809,0.96809
